forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.5,13590.5,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.5,14379,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.5,14909,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.55,13242.45,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.55,14264.9,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.55,15160.25,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.55,15951.85,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.6,13942.4,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.6,15070.8,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.6,16027,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.6,17008.2,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.65,14689.75,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.65,15903,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.65,17122.85,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.65,17974.8,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.7,15488.3,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.7,16936.3,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.7,18087.3,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.7,19386.8,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.75,16435.75,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.75,17846,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.75,19132,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.75,20680.5,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.8,17559.8,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.8,19019.6,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.8,20412.8,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.8,22029.2,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.85,18675.45,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.85,20501.9,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.85,22083.2,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.85,23923.6,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.9,20455.8,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.9,22322.2,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.9,24170.7,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.9,26090.4,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.95,23142.75,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.95,25270.55,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.95,27513.6,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.95,30012.85,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.975,25849.075,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.975,28075.025,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.975,30728.4,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.975,33593,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.99,28447.05,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.99,31421.19,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.99,34270.45,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.99,37726.14,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,point,NA,12590,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,point,NA,13590.5,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,point,NA,14379,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,point,NA,14909,Belgium
