"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"107","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.05,5325,"Belgium"
"108","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.05,4896,"Belgium"
"109","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.1,6291,"Belgium"
"110","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.1,6666,"Belgium"
"111","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.1,6516,"Belgium"
"112","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.1,6175,"Belgium"
"113","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.15,7087,"Belgium"
"114","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.15,7533,"Belgium"
"115","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.15,7569,"Belgium"
"116","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.15,7215,"Belgium"
"117","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.2,7794,"Belgium"
"118","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.2,8260,"Belgium"
"119","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.2,8319,"Belgium"
"120","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.2,8135,"Belgium"
"121","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.25,8486,"Belgium"
"122","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.25,8988,"Belgium"
"123","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.25,9203,"Belgium"
"124","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.25,9094,"Belgium"
"125","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.3,9003,"Belgium"
"126","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.3,9660,"Belgium"
"127","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.3,9977,"Belgium"
"128","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.3,9986,"Belgium"
"129","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.35,9578,"Belgium"
"130","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.35,10336,"Belgium"
"131","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.35,10688,"Belgium"
"132","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.35,10863,"Belgium"
"133","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.4,10115,"Belgium"
"134","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.4,11001,"Belgium"
"135","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.4,11405,"Belgium"
"136","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.4,11703,"Belgium"
"137","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.45,10693,"Belgium"
"138","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.45,11616,"Belgium"
"139","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.45,12192,"Belgium"
"140","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.45,12556,"Belgium"
"141","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.5,11331,"Belgium"
"142","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.5,12231,"Belgium"
"143","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.5,12941,"Belgium"
"144","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.5,13418,"Belgium"
"145","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.55,11918,"Belgium"
"146","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.55,12838,"Belgium"
