scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.1,172688
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.15,190685
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.2,206460
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.25,220371
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.3,233525
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.35,244623
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.4,255527
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.45,266723
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.5,276906
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.55,288141
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.6,300391
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.65,312969
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.7,325756
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.75,339984
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.8,356317
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.85,374980
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.9,399892
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.95,439355
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.975,473511
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.99,519740
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,point,NA,3604
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.01,1951
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.025,2184
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.05,2378
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.1,2600
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.15,2808
