location_name,location,target_variable,date,value,source
Austria,AT,hospitaladmissions,2021-09-18,345,ECDC
Austria,AT,ICUadmissions,2021-09-18,136,ECDC
Austria,AT,inc death,2021-09-11,51,ECDC
Austria,AT,hospitaladmissions,2021-09-11,343,ECDC
Austria,AT,ICUadmissions,2021-09-11,138,ECDC
Austria,AT,inc death,2021-09-04,44,ECDC
Austria,AT,hospitaladmissions,2021-09-04,315,ECDC
Austria,AT,ICUadmissions,2021-09-04,111,ECDC
Austria,AT,inc death,2021-08-28,34,ECDC
Austria,AT,hospitaladmissions,2021-08-28,311,ECDC
Austria,AT,ICUadmissions,2021-08-28,130,ECDC
Austria,AT,inc death,2021-08-21,13,ECDC
Austria,AT,hospitaladmissions,2021-08-21,231,ECDC
Austria,AT,ICUadmissions,2021-08-21,99,ECDC
Austria,AT,inc death,2021-08-14,16,ECDC
Austria,AT,hospitaladmissions,2021-08-14,171,ECDC
Austria,AT,ICUadmissions,2021-08-14,63,ECDC
Austria,AT,inc death,2021-08-07,19,ECDC
Austria,AT,hospitaladmissions,2021-08-07,106,ECDC
Austria,AT,ICUadmissions,2021-08-07,32,ECDC
Austria,AT,inc death,2021-07-31,15,ECDC
Austria,AT,hospitaladmissions,2021-07-31,59,ECDC
Austria,AT,ICUadmissions,2021-07-31,17,ECDC
Austria,AT,inc death,2021-07-24,16,ECDC
Austria,AT,hospitaladmissions,2021-07-24,63,ECDC
Austria,AT,ICUadmissions,2021-07-24,24,ECDC
Austria,AT,inc death,2021-07-17,14,ECDC
Austria,AT,hospitaladmissions,2021-07-17,49,ECDC
Austria,AT,ICUadmissions,2021-07-17,11,ECDC
Austria,AT,inc death,2021-07-10,12,ECDC
Austria,AT,hospitaladmissions,2021-07-10,29,ECDC
Austria,AT,ICUadmissions,2021-07-10,8,ECDC
Austria,AT,inc death,2021-07-03,24,ECDC
Austria,AT,hospitaladmissions,2021-07-03,33,ECDC
Austria,AT,ICUadmissions,2021-07-03,14,ECDC
Austria,AT,inc death,2021-06-26,19,ECDC
Austria,AT,hospitaladmissions,2021-06-26,42,ECDC
Austria,AT,ICUadmissions,2021-06-26,8,ECDC
Austria,AT,inc death,2021-06-19,33,ECDC
Austria,AT,hospitaladmissions,2021-06-19,42,ECDC
Austria,AT,ICUadmissions,2021-06-19,19,ECDC
Austria,AT,inc death,2021-06-12,37,ECDC
Austria,AT,hospitaladmissions,2021-06-12,79,ECDC
Austria,AT,ICUadmissions,2021-06-12,20,ECDC
Austria,AT,inc death,2021-06-05,48,ECDC
Austria,AT,hospitaladmissions,2021-06-05,93,ECDC
Austria,AT,ICUadmissions,2021-06-05,22,ECDC
Austria,AT,inc death,2021-05-29,72,ECDC
Austria,AT,hospitaladmissions,2021-05-29,106,ECDC
Austria,AT,ICUadmissions,2021-05-29,31,ECDC
Austria,AT,inc death,2021-05-22,73,ECDC
Austria,AT,hospitaladmissions,2021-05-22,169,ECDC
Austria,AT,ICUadmissions,2021-05-22,46,ECDC
Austria,AT,inc death,2021-05-15,105,ECDC
Austria,AT,hospitaladmissions,2021-05-15,262,ECDC
Austria,AT,ICUadmissions,2021-05-15,54,ECDC
Austria,AT,inc death,2021-05-08,157,ECDC
Austria,AT,hospitaladmissions,2021-05-08,390,ECDC
Austria,AT,ICUadmissions,2021-05-08,104,ECDC
Austria,AT,inc death,2021-05-01,194,ECDC
Austria,AT,hospitaladmissions,2021-05-01,486,ECDC
Austria,AT,ICUadmissions,2021-05-01,167,ECDC
Austria,AT,inc death,2021-04-24,200,ECDC
Austria,AT,hospitaladmissions,2021-04-24,621,ECDC
Austria,AT,ICUadmissions,2021-04-24,176,ECDC
Austria,AT,inc death,2021-04-17,245,ECDC
Austria,AT,hospitaladmissions,2021-04-17,766,ECDC
Austria,AT,ICUadmissions,2021-04-17,256,ECDC
Austria,AT,inc death,2021-04-10,251,ECDC
Austria,AT,hospitaladmissions,2021-04-10,851,ECDC
Austria,AT,ICUadmissions,2021-04-10,257,ECDC
Austria,AT,inc death,2021-04-03,271,ECDC
Austria,AT,hospitaladmissions,2021-04-03,984,ECDC
Austria,AT,ICUadmissions,2021-04-03,279,ECDC
Austria,AT,inc death,2021-03-27,216,ECDC
Austria,AT,hospitaladmissions,2021-03-27,997,ECDC
Austria,AT,ICUadmissions,2021-03-27,290,ECDC
Austria,AT,inc death,2021-03-20,246,ECDC
Austria,AT,hospitaladmissions,2021-03-20,1051,ECDC
Austria,AT,ICUadmissions,2021-03-20,289,ECDC
Austria,AT,inc death,2021-03-13,214,ECDC
Austria,AT,hospitaladmissions,2021-03-13,879,ECDC
Austria,AT,ICUadmissions,2021-03-13,241,ECDC
Austria,AT,inc death,2021-03-06,190,ECDC
Austria,AT,hospitaladmissions,2021-03-06,828,ECDC
Austria,AT,ICUadmissions,2021-03-06,214,ECDC
Austria,AT,inc death,2021-02-27,224,ECDC
Austria,AT,hospitaladmissions,2021-02-27,636,ECDC
Austria,AT,ICUadmissions,2021-02-27,137,ECDC
Austria,AT,inc death,2021-02-20,218,ECDC
Austria,AT,hospitaladmissions,2021-02-20,521,ECDC
Austria,AT,ICUadmissions,2021-02-20,146,ECDC
Austria,AT,inc death,2021-02-13,253,ECDC
Austria,AT,hospitaladmissions,2021-02-13,480,ECDC
Austria,AT,ICUadmissions,2021-02-13,113,ECDC
Austria,AT,inc death,2021-02-06,298,ECDC
Austria,AT,hospitaladmissions,2021-02-06,536,ECDC
Austria,AT,ICUadmissions,2021-02-06,90,ECDC
Austria,AT,inc death,2021-01-30,369,ECDC
Austria,AT,hospitaladmissions,2021-01-30,610,ECDC
Austria,AT,ICUadmissions,2021-01-30,137,ECDC
Austria,AT,inc death,2021-01-23,400,ECDC
Austria,AT,hospitaladmissions,2021-01-23,609,ECDC
Austria,AT,ICUadmissions,2021-01-23,150,ECDC
Austria,AT,inc death,2021-01-16,450,ECDC
Austria,AT,hospitaladmissions,2021-01-16,666,ECDC
Austria,AT,ICUadmissions,2021-01-16,124,ECDC
Austria,AT,inc death,2021-01-09,436,ECDC
Austria,AT,hospitaladmissions,2021-01-09,714,ECDC
Austria,AT,ICUadmissions,2021-01-09,125,ECDC
Austria,AT,inc death,2021-01-02,517,ECDC
Austria,AT,hospitaladmissions,2021-01-02,695,ECDC
Austria,AT,ICUadmissions,2021-01-02,112,ECDC
Austria,AT,inc death,2020-12-26,615,ECDC
Austria,AT,hospitaladmissions,2020-12-26,670,ECDC
Austria,AT,ICUadmissions,2020-12-26,121,ECDC
Austria,AT,inc death,2020-12-19,704,ECDC
Austria,AT,hospitaladmissions,2020-12-19,776,ECDC
Austria,AT,ICUadmissions,2020-12-19,122,ECDC
Austria,AT,inc death,2020-12-12,849,ECDC
Austria,AT,hospitaladmissions,2020-12-12,1053,ECDC
Austria,AT,ICUadmissions,2020-12-12,174,ECDC
Austria,AT,inc death,2020-12-05,921,ECDC
Austria,AT,hospitaladmissions,2020-12-05,1170,ECDC
Austria,AT,ICUadmissions,2020-12-05,186,ECDC
Austria,AT,inc death,2020-11-28,858,ECDC
Austria,AT,hospitaladmissions,2020-11-28,1254,ECDC
Austria,AT,ICUadmissions,2020-11-28,208,ECDC
Austria,AT,inc death,2020-11-21,766,ECDC
Austria,AT,hospitaladmissions,2020-11-21,1432,ECDC
Austria,AT,ICUadmissions,2020-11-21,210,ECDC
Austria,AT,inc death,2020-11-14,623,ECDC
