forecast_data,target,target_end_date,location,type,quantile,value
2021-04-26,1 wk ahead inc case,2021-05-01,FR,quantile,0.025,53785
2021-04-26,1 wk ahead inc case,2021-05-01,FR,quantile,0.250,140387
2021-04-26,1 wk ahead inc case,2021-05-01,FR,quantile,0.750,231730
2021-04-26,1 wk ahead inc case,2021-05-01,FR,quantile,0.975,664925
2021-04-26,2 wk ahead inc case,2021-05-08,FR,point,NA,338917
2021-04-26,2 wk ahead inc case,2021-05-08,FR,quantile,0.025,28130
2021-04-26,2 wk ahead inc case,2021-05-08,FR,quantile,0.250,188777
2021-04-26,2 wk ahead inc case,2021-05-08,FR,quantile,0.750,501597
2021-04-26,2 wk ahead inc case,2021-05-08,FR,quantile,0.975,2627963
2021-04-26,1 wk ahead inc case,2021-05-01,GB,point,NA,16389
2021-04-26,1 wk ahead inc case,2021-05-01,GB,quantile,0.025,4835
2021-04-26,1 wk ahead inc case,2021-05-01,GB,quantile,0.250,12619
2021-04-26,1 wk ahead inc case,2021-05-01,GB,quantile,0.750,20830
2021-04-26,1 wk ahead inc case,2021-05-01,GB,quantile,0.975,59770
2021-04-26,2 wk ahead inc case,2021-05-08,GB,point,NA,32257
2021-04-26,2 wk ahead inc case,2021-05-08,GB,quantile,0.025,2677
2021-04-26,2 wk ahead inc case,2021-05-08,GB,quantile,0.250,17967
2021-04-26,2 wk ahead inc case,2021-05-08,GB,quantile,0.750,47741
2021-04-26,2 wk ahead inc case,2021-05-08,GB,quantile,0.975,250123
2021-04-26,1 wk ahead inc case,2021-05-01,GR,point,NA,14788
2021-04-26,1 wk ahead inc case,2021-05-01,GR,quantile,0.025,4363
2021-04-26,1 wk ahead inc case,2021-05-01,GR,quantile,0.250,11387
2021-04-26,1 wk ahead inc case,2021-05-01,GR,quantile,0.750,18796
2021-04-26,1 wk ahead inc case,2021-05-01,GR,quantile,0.975,53933
2021-04-26,2 wk ahead inc case,2021-05-08,GR,point,NA,25983
2021-04-26,2 wk ahead inc case,2021-05-08,GR,quantile,0.025,2157
2021-04-26,2 wk ahead inc case,2021-05-08,GR,quantile,0.250,14473
2021-04-26,2 wk ahead inc case,2021-05-08,GR,quantile,0.750,38455
2021-04-26,2 wk ahead inc case,2021-05-08,GR,quantile,0.975,201475
2021-04-26,1 wk ahead inc case,2021-05-01,HR,point,NA,14512
2021-04-26,1 wk ahead inc case,2021-05-01,HR,quantile,0.025,4281
