forecast_data;target;target_end_date;location;type;quantile;value
26/4/2021;1 wk ahead inc case;1/5/2021;HU;quantile;0.975;44763
26/4/2021;2 wk ahead inc case;8/5/2021;HU;point;NA;19531
26/4/2021;2 wk ahead inc case;8/5/2021;HU;quantile;0.025;1621
26/4/2021;2 wk ahead inc case;8/5/2021;HU;quantile;0.250;10879
26/4/2021;2 wk ahead inc case;8/5/2021;HU;quantile;0.750;28905
26/4/2021;2 wk ahead inc case;8/5/2021;HU;quantile;0.975;151441
26/4/2021;1 wk ahead inc case;1/5/2021;IE;point;NA;2663
26/4/2021;1 wk ahead inc case;1/5/2021;IE;quantile;0.025;786
26/4/2021;1 wk ahead inc case;1/5/2021;IE;quantile;0.250;2051
26/4/2021;1 wk ahead inc case;1/5/2021;IE;quantile;0.750;3385
26/4/2021;1 wk ahead inc case;1/5/2021;IE;quantile;0.975;9713
26/4/2021;2 wk ahead inc case;8/5/2021;IE;point;NA;5178
26/4/2021;2 wk ahead inc case;8/5/2021;IE;quantile;0.025;430
26/4/2021;2 wk ahead inc case;8/5/2021;IE;quantile;0.250;2884
26/4/2021;2 wk ahead inc case;8/5/2021;IE;quantile;0.750;7664
26/4/2021;2 wk ahead inc case;8/5/2021;IE;quantile;0.975;40153
26/4/2021;1 wk ahead inc case;1/5/2021;IS;point;NA;162
26/4/2021;1 wk ahead inc case;1/5/2021;IS;quantile;0.025;48
26/4/2021;1 wk ahead inc case;1/5/2021;IS;quantile;0.250;125
26/4/2021;1 wk ahead inc case;1/5/2021;IS;quantile;0.750;206
26/4/2021;1 wk ahead inc case;1/5/2021;IS;quantile;0.975;592
26/4/2021;2 wk ahead inc case;8/5/2021;IS;point;NA;493
26/4/2021;2 wk ahead inc case;8/5/2021;IS;quantile;0.025;41
26/4/2021;2 wk ahead inc case;8/5/2021;IS;quantile;0.250;275
26/4/2021;2 wk ahead inc case;8/5/2021;IS;quantile;0.750;730
26/4/2021;2 wk ahead inc case;8/5/2021;IS;quantile;0.975;3825
26/4/2021;1 wk ahead inc case;1/5/2021;IT;point;NA;82834
26/4/2021;1 wk ahead inc case;1/5/2021;IT;quantile;0.025;24436
26/4/2021;1 wk ahead inc case;1/5/2021;IT;quantile;0.250;63782
26/4/2021;1 wk ahead inc case;1/5/2021;IT;quantile;0.750;105282
26/4/2021;1 wk ahead inc case;1/5/2021;IT;quantile;0.975;302095
26/4/2021;2 wk ahead inc case;8/5/2021;IT;point;NA;156477
26/4/2021;2 wk ahead inc case;8/5/2021;IT;quantile;0.025;12988
26/4/2021;2 wk ahead inc case;8/5/2021;IT;quantile;0.250;87158
26/4/2021;2 wk ahead inc case;8/5/2021;IT;quantile;0.750;231586
26/4/2021;2 wk ahead inc case;8/5/2021;IT;quantile;0.975;1213322
26/4/2021;1 wk ahead inc case;1/5/2021;LI;point;NA;96
26/4/2021;1 wk ahead inc case;1/5/2021;LI;quantile;0.025;28
26/4/2021;1 wk ahead inc case;1/5/2021;LI;quantile;0.250;74
26/4/2021;1 wk ahead inc case;1/5/2021;LI;quantile;0.750;122
26/4/2021;1 wk ahead inc case;1/5/2021;LI;quantile;0.975;351
26/4/2021;2 wk ahead inc case;8/5/2021;LI;point;NA;191
26/4/2021;2 wk ahead inc case;8/5/2021;LI;quantile;0.025;16
26/4/2021;2 wk ahead inc case;8/5/2021;LI;quantile;0.250;106
26/4/2021;2 wk ahead inc case;8/5/2021;LI;quantile;0.750;283
26/4/2021;2 wk ahead inc case;8/5/2021;LI;quantile;0.975;1481
26/4/2021;1 wk ahead inc case;1/5/2021;LT;point;NA;7870
26/4/2021;1 wk ahead inc case;1/5/2021;LT;quantile;0.025;2322
26/4/2021;1 wk ahead inc case;1/5/2021;LT;quantile;0.250;6060
26/4/2021;1 wk ahead inc case;1/5/2021;LT;quantile;0.750;10002
26/4/2021;1 wk ahead inc case;1/5/2021;LT;quantile;0.975;28701
26/4/2021;2 wk ahead inc case;8/5/2021;LT;point;NA;15865
26/4/2021;2 wk ahead inc case;8/5/2021;LT;quantile;0.025;1317
