forecast_date,target,target_end_date,location,quantile,value,type,scenario_id
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.025,1142,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.025,600,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.025,399,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.05,3041,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.05,1144,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.05,601,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.05,400,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.1,3043,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.1,1146,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.1,603,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.1,401,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.15,3046,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.15,1148,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.15,604,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.15,402,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.2,3051,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.2,1153,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.2,607,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.2,404,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.25,3054,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.25,1155,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.25,609,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.25,405,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.3,3058,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.3,1159,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.3,611,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.3,407,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.35,3060,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.35,1161,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.35,613,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.35,408,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.4,3303,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.4,1419,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.4,809,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.4,561,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.45,3349,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.45,1470,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.45,849,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.45,594,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.5,3405,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.5,1535,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.5,902,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.5,636,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.55,3440,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.55,1575,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.55,935,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.55,663,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.6,3531,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.6,1680,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.6,1019,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.6,731,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.65,3569,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.65,1727,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.65,1057,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.65,762,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.7,3584,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.7,1744,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.7,1071,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.7,774,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.75,3597,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.75,1761,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.75,1085,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.75,786,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.8,3652,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.8,1826,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.8,1139,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.8,829,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.85,3659,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.85,1835,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.85,1147,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.85,836,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.9,3668,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.9,1847,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.9,1158,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.9,845,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.95,3682,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.95,1865,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.95,1173,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.95,859,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.975,3710,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.975,1900,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.975,1203,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.975,884,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.99,3720,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.99,1914,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.99,1215,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.99,894,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,NA,3348,point,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,NA,1466,point,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,NA,843,point,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,NA,587,point,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.01,37033,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.01,41216,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.01,44935,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.01,48183,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.025,37049,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.025,41258,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.025,45004,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.025,48277,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.05,37074,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.05,41329,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.05,45120,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.05,48435,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.1,37103,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.1,41410,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.1,45252,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.1,48615,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.15,37162,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.15,41573,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.15,45518,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.15,48978,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.2,37234,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.2,41775,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.2,45848,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.2,49430,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.25,37367,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.25,42145,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.25,46453,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.25,50258,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.3,37454,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.3,42390,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.3,46857,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.3,50813,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.35,37495,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.35,42506,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.35,47048,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,ES,0.35,51078,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,ES,0.4,38190,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,ES,0.4,44480,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,ES,0.4,50325,quantile,forecast
