model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
epiforecasts-EpiNow2,inc death,4,Overall,0.91,0.79,0.47,0.91,0.2,577,32,NA
LANL-GrowthRate,inc death,5,Overall,NA,NA,0.34,0.76,0.18,537,32,NA
USC-SIkJalpha,inc death,5,Overall,NA,NA,0.35,0.5,0.24,568,32,NA
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.41,1,0.18,22,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.59,0.54,0.64,0.95,0.21,22,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.73,0.72,0.45,0.82,0.33,22,1,Austria
ILM-EKF,inc case,1,AT,0.74,0.86,0.59,0.91,0.08,22,1,Austria
Karlen-pypm,inc case,1,AT,0.61,0.82,0.75,1,0.39,4,1,Austria
LANL-GrowthRate,inc case,1,AT,0.56,0.49,0.43,0.95,-0.28,21,1,Austria
MUNI-ARIMA,inc case,1,AT,0.32,0.47,0.57,1,0.09,14,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.68,0.79,0.59,0.91,-0.07,22,1,Austria
SDSC_ISG-TrendModel,inc case,1,AT,0.43,NA,NA,NA,NA,19,1,Austria
USC-SIkJalpha,inc case,1,AT,0.7,0.91,0.32,0.5,0.38,22,1,Austria
UVA-Ensemble,inc case,1,AT,1.44,NA,0.48,1,NA,21,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,0.65,0.72,0.41,0.68,0.06,22,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.38,1,0.2,21,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.59,0.6,0.62,0.9,0.25,21,1,Austria
IEM_Health-CovidProject,inc case,2,AT,0.81,0.84,0.33,0.71,0.4,21,1,Austria
ILM-EKF,inc case,2,AT,0.73,0.8,0.57,0.86,0.1,21,1,Austria
LANL-GrowthRate,inc case,2,AT,0.52,0.5,0.55,0.9,-0.06,20,1,Austria
MUNI-ARIMA,inc case,2,AT,0.3,0.52,0.69,1,0,13,1,Austria
RobertWalraven-ESG,inc case,2,AT,0.58,0.74,0.48,0.76,-0.25,21,1,Austria
USC-SIkJalpha,inc case,2,AT,0.67,0.85,0.24,0.43,0.42,21,1,Austria
UVA-Ensemble,inc case,2,AT,1.22,NA,0.35,0.95,NA,20,1,Austria
epiforecasts-EpiNow2,inc case,2,AT,0.89,1,0.24,0.71,0.08,21,1,Austria
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.5,1,0.28,20,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,0.72,0.74,0.4,0.85,0.36,20,1,Austria
IEM_Health-CovidProject,inc case,3,AT,0.98,1.03,0.15,0.6,0.44,20,1,Austria
ILM-EKF,inc case,3,AT,0.88,0.92,0.4,0.85,0.11,20,1,Austria
