model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,4,NO,1097,182,778,137,1.33,1570,1.31,0.2,0.67,-0.37,1,15,Norway
RobertWalraven-ESG,inc case,1,NO,553,56,466,31,1.29,689,1.12,0.24,0.8,-0.36,1,25,Norway
MUNI-ARIMA,inc case,3,NO,837,231,475,131,1.12,1181,1.14,0.5,0.86,-0.3,1,14,Norway
RobertWalraven-ESG,inc case,2,NO,875,72,766,37,1.46,1063,1.09,0.17,0.67,-0.42,1,24,Norway
MUNI-ARIMA,inc case,4,NO,1066,290,614,162,1.2,1554,1.23,0.38,0.92,-0.25,1,13,Norway
RobertWalraven-ESG,inc case,3,NO,1146,88,1042,16,1.49,1317,1.07,0.17,0.7,-0.49,1,23,Norway
RobertWalraven-ESG,inc case,4,NO,1386,104,1280,2,1.52,1435,0.99,0.23,0.68,-0.54,1,22,Norway
Karlen-pypm,inc case,1,NO,756,183,306,266,1.11,1200,1.4,0.29,0.71,-0.03,1,7,Norway
Karlen-pypm,inc case,2,NO,1392,259,406,727,1.5,1778,1.36,0.17,0.5,-0.13,1,6,Norway
Karlen-pypm,inc case,3,NO,2725,387,994,1344,2.07,3671,2.05,0,0.2,-0.21,1,5,Norway
Karlen-pypm,inc case,4,NO,3088,514,1884,690,1.7,3903,1.58,0,0.25,-0.55,1,4,Norway
EuroCOVIDhub-baseline,inc death,1,NO,2,1,1,1,1,3,1,0.64,1,0.07,1,25,Norway
EuroCOVIDhub-ensemble,inc death,1,NO,2,1,1,0,0.96,3,0.97,0.68,1,0.13,1,25,Norway
EuroCOVIDhub-mean,inc death,1,NO,2,1,1,0,0.98,3,0.97,0.64,1,0.13,1,25,Norway
EuroCOVIDhub-median,inc death,1,NO,2,1,1,0,0.96,3,1,0.68,1,0.1,1,25,Norway
IEM_Health-CovidProject,inc death,1,NO,3,1,1,0,1.14,4,1.23,0.44,0.88,-0.07,1,25,Norway
ILM-EKF,inc death,1,NO,4,3,0,0,1.61,4,1.08,0.92,1,0.16,1,25,Norway
LANL-GrowthRate,inc death,1,NO,3,1,1,1,1.22,4,1.2,0.58,0.88,0.04,1,24,Norway
RobertWalraven-ESG,inc death,1,NO,3,1,1,1,1.19,3,1.01,0.68,0.8,0.04,1,25,Norway
USC-SIkJalpha,inc death,1,NO,3,0,2,1,1.5,4,1.14,0.36,0.44,-0.06,1,25,Norway
epiforecasts-EpiNow2,inc death,1,NO,2,1,1,1,1.03,4,1.1,0.6,1,0.13,1,25,Norway
EuroCOVIDhub-baseline,inc death,2,NO,3,2,1,1,1,4,1,0.79,1,0.03,1,24,Norway
EuroCOVIDhub-ensemble,inc death,2,NO,2,1,1,1,0.84,4,0.91,0.58,1,0.14,1,24,Norway
EuroCOVIDhub-mean,inc death,2,NO,3,1,1,1,0.85,4,0.89,0.58,1,0.14,1,24,Norway
EuroCOVIDhub-median,inc death,2,NO,2,1,1,1,0.83,4,0.95,0.62,1,0.1,1,24,Norway
IEM_Health-CovidProject,inc death,2,NO,3,1,1,1,1.01,6,1.23,0.46,0.96,-0.1,1,24,Norway
ILM-EKF,inc death,2,NO,4,3,0,1,1.4,5,1.04,0.88,1,0.17,1,24,Norway
LANL-GrowthRate,inc death,2,NO,4,1,1,1,1.18,5,1.21,0.43,0.83,0.05,1,23,Norway
RobertWalraven-ESG,inc death,2,NO,4,1,1,1,1.14,4,1.02,0.58,0.79,-0.01,1,24,Norway
USC-SIkJalpha,inc death,2,NO,3,1,2,1,1.19,4,0.95,0.33,0.38,-0.15,1,24,Norway
epiforecasts-EpiNow2,inc death,2,NO,3,1,1,1,1.02,5,1.14,0.46,1,0.16,1,24,Norway
EuroCOVIDhub-baseline,inc death,3,NO,4,2,1,1,1,6,1,0.65,1,0.03,1,23,Norway
EuroCOVIDhub-ensemble,inc death,3,NO,3,2,0,1,0.75,4,0.75,0.57,0.96,0.18,1,23,Norway
EuroCOVIDhub-mean,inc death,3,NO,3,2,0,1,0.75,4,0.74,0.61,0.96,0.17,1,23,Norway
EuroCOVIDhub-median,inc death,3,NO,3,1,1,1,0.74,5,0.83,0.48,0.96,0.14,1,23,Norway
IEM_Health-CovidProject,inc death,3,NO,4,2,1,1,0.97,7,1.05,0.43,0.91,-0.07,1,23,Norway
ILM-EKF,inc death,3,NO,5,4,0,1,1.19,4,0.76,0.78,1,0.16,1,23,Norway
LANL-GrowthRate,inc death,3,NO,4,1,1,2,1.09,6,1.08,0.45,0.82,0.07,1,22,Norway
RobertWalraven-ESG,inc death,3,NO,4,1,2,2,1.09,6,0.91,0.65,0.74,-0.03,1,23,Norway
USC-SIkJalpha,inc death,3,NO,3,1,2,1,0.83,5,0.72,0.35,0.52,-0.07,1,23,Norway
epiforecasts-EpiNow2,inc death,3,NO,4,2,1,2,1.02,7,1.08,0.35,0.96,0.16,1,23,Norway
EuroCOVIDhub-baseline,inc death,4,NO,4,2,1,1,1,6,1,0.77,1,0.03,1,22,Norway
EuroCOVIDhub-ensemble,inc death,4,NO,3,2,0,1,0.73,4,0.73,0.64,0.86,0.16,1,22,Norway
EuroCOVIDhub-mean,inc death,4,NO,3,2,0,1,0.73,4,0.71,0.64,0.86,0.17,1,22,Norway
EuroCOVIDhub-median,inc death,4,NO,3,2,1,1,0.67,4,0.74,0.64,0.95,0.09,1,22,Norway
IEM_Health-CovidProject,inc death,4,NO,5,2,1,1,1.11,8,1.24,0.36,0.91,-0.03,1,22,Norway
ILM-EKF,inc death,4,NO,5,4,0,1,1.06,5,0.71,0.86,1,0.18,1,22,Norway
LANL-GrowthRate,inc death,4,NO,5,1,1,2,1.07,7,1.12,0.33,0.76,0.08,1,21,Norway
RobertWalraven-ESG,inc death,4,NO,5,1,2,2,0.98,6,0.94,0.68,0.77,-0.09,1,22,Norway
UMass-MechBayes,inc death,1,NO,2,1,1,1,0.99,4,1.08,0.55,1,0.19,1,22,Norway
USC-SIkJalpha,inc death,4,NO,3,1,1,1,0.74,4,0.61,0.32,0.45,-0.24,1,22,Norway
epiforecasts-EpiNow2,inc death,4,NO,5,2,1,2,1.02,8,1.04,0.41,0.95,0.1,1,22,Norway
EuroCOVIDhub-relative_skill_weighted_mean,inc death,1,NO,2,1,1,0,1.02,3,0.99,0.57,1,0.11,1,21,Norway
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,1,NO,2,1,1,0,1.01,3,0.99,0.57,1,0.11,1,21,Norway
EuroCOVIDhub-relative_skill_weighted_median,inc death,1,NO,2,1,1,0,1.03,3,1.03,0.52,0.95,0.1,1,21,Norway
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,1,NO,2,1,1,0,0.99,3,1,0.52,1,0.08,1,21,Norway
LANL-GrowthRate,inc death,5,NO,5,1,1,3,NA,7,NA,0.3,0.7,0.16,1,20,Norway
UMass-MechBayes,inc death,2,NO,3,1,1,1,0.81,4,0.95,0.52,1,0.14,1,21,Norway
USC-SIkJalpha,inc death,5,NO,4,1,1,1,NA,4,NA,0.24,0.43,-0.12,1,21,Norway
EuroCOVIDhub-relative_skill_weighted_mean,inc death,2,NO,3,1,1,1,0.92,4,1,0.45,1,0.14,1,20,Norway
EuroCOVIDhub-relative_skill_weighted_median,inc death,2,NO,3,1,1,1,0.92,4,1.02,0.55,0.95,0.11,1,20,Norway
LANL-GrowthRate,inc death,6,NO,5,1,1,3,NA,8,NA,0.32,0.68,0.19,1,19,Norway
UMass-MechBayes,inc death,3,NO,2,1,1,1,0.62,4,0.66,0.45,1,0.16,1,20,Norway
EuroCOVIDhub-relative_skill_weighted_mean,inc death,3,NO,3,1,1,1,0.81,5,0.86,0.42,0.95,0.2,1,19,Norway
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,2,NO,3,1,1,1,0.95,4,1,0.42,1,0.19,1,19,Norway
EuroCOVIDhub-relative_skill_weighted_median,inc death,3,NO,3,1,1,1,0.77,5,0.86,0.37,1,0.19,1,19,Norway
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,2,NO,3,1,1,1,0.92,4,1.02,0.58,0.95,0.14,1,19,Norway
UMass-MechBayes,inc death,4,NO,2,1,0,1,0.51,3,0.53,0.53,0.95,0.15,1,19,Norway
EuroCOVIDhub-relative_skill_weighted_mean,inc death,4,NO,3,1,0,1,0.78,4,0.84,0.44,0.83,0.21,1,18,Norway
EuroCOVIDhub-relative_skill_weighted_median,inc death,4,NO,2,1,0,1,0.71,4,0.83,0.5,0.89,0.19,1,18,Norway
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,3,NO,2,1,0,1,0.86,4,0.86,0.47,0.94,0.32,1,17,Norway
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,3,NO,2,1,0,1,0.83,4,0.93,0.41,1,0.34,1,17,Norway
MUNI-ARIMA,inc death,1,NO,2,1,0,1,1.26,3,1.25,0.59,1,0.24,1,17,Norway
MUNI-ARIMA,inc death,2,NO,2,1,0,1,1.22,4,1.33,0.62,0.94,0.29,1,16,Norway
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,4,NO,3,1,0,2,0.84,4,0.85,0.4,0.8,0.27,1,15,Norway
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,4,NO,3,1,0,2,0.84,4,0.86,0.33,0.8,0.25,1,15,Norway
MUNI-ARIMA,inc death,3,NO,2,1,0,1,1.07,4,1.12,0.64,0.93,0.26,1,14,Norway
MUNI-ARIMA,inc death,4,NO,2,1,0,1,1.03,4,1.15,0.69,1,0.23,1,13,Norway
Karlen-pypm,inc death,1,NO,1,0,1,0,0.91,2,1.11,0.71,1,-0.2,1,7,Norway
Karlen-pypm,inc death,2,NO,1,0,1,0,0.99,2,1.02,0.5,1,-0.27,1,6,Norway
Karlen-pypm,inc death,3,NO,2,1,1,0,1.03,3,0.99,0.4,1,-0.27,1,5,Norway
Karlen-pypm,inc death,4,NO,2,0,1,0,1.13,3,1.04,0.25,1,-0.65,1,4,Norway
EuroCOVIDhub-baseline,inc case,1,Overall,3086,553,1285,1247,1,4336,1,0.32,0.94,0.06,32,790,Overall
EuroCOVIDhub-ensemble,inc case,1,Overall,2248,1009,495,744,0.72,3416,0.77,0.57,0.94,0.02,32,790,Overall
EuroCOVIDhub-mean,inc case,1,Overall,2258,1037,477,744,0.72,3440,0.78,0.58,0.94,0.04,32,790,Overall
EuroCOVIDhub-median,inc case,1,Overall,2172,912,531,730,0.69,3451,0.77,0.55,0.92,0,32,790,Overall
IEM_Health-CovidProject,inc case,1,Overall,3170,1135,613,1422,0.98,4757,1.04,0.4,0.83,0.1,32,778,Overall
ILM-EKF,inc case,1,Overall,3160,830,768,1563,0.98,4517,1,0.45,0.87,0.01,32,789,Overall
LANL-GrowthRate,inc case,1,Overall,2699,1386,932,381,0.82,3995,0.86,0.56,0.91,-0.31,32,759,Overall
USC-SIkJalpha,inc case,1,Overall,3971,1078,1316,1577,1.35,4990,1.19,0.35,0.52,0.04,32,790,Overall
epiforecasts-EpiExpert,inc case,1,Overall,4970,1350,1417,2202,0.77,7351,0.81,0.38,0.83,0.18,32,236,Overall
epiforecasts-EpiNow2,inc case,1,Overall,3327,1550,501,1277,1.12,4999,1.17,0.52,0.86,0.01,32,788,Overall
Karlen-pypm,inc case,1,Overall,5465,1701,761,3002,1.16,7996,1.19,0.54,0.91,0.14,29,210,Overall
EuroCOVIDhub-baseline,inc case,2,Overall,5329,1115,2059,2155,1,7714,1,0.4,0.88,0.06,32,757,Overall
EuroCOVIDhub-ensemble,inc case,2,Overall,4626,1595,1004,2028,0.87,6934,0.89,0.46,0.89,0.05,32,757,Overall
EuroCOVIDhub-mean,inc case,2,Overall,4887,1651,971,2265,0.93,7301,0.94,0.47,0.89,0.08,32,757,Overall
EuroCOVIDhub-median,inc case,2,Overall,4455,1456,1200,1799,0.83,6648,0.84,0.43,0.87,0.01,32,757,Overall
IEM_Health-CovidProject,inc case,2,Overall,6078,1652,1353,3073,1.09,8661,1.06,0.3,0.71,0.11,32,746,Overall
ILM-EKF,inc case,2,Overall,7607,1794,1259,4553,1.4,10535,1.32,0.39,0.82,0.01,32,756,Overall
LANL-GrowthRate,inc case,2,Overall,4705,1903,1583,1219,0.85,6857,0.85,0.48,0.86,-0.22,32,727,Overall
USC-SIkJalpha,inc case,2,Overall,7574,1300,2578,3697,1.59,9185,1.28,0.29,0.41,-0.01,32,757,Overall
epiforecasts-EpiExpert,inc case,2,Overall,10198,2121,2615,5461,0.96,14524,0.94,0.3,0.71,0.2,32,230,Overall
epiforecasts-EpiNow2,inc case,2,Overall,7007,2780,996,3232,1.39,9944,1.33,0.42,0.82,-0.01,32,755,Overall
Karlen-pypm,inc case,2,Overall,19924,3010,1644,15270,2.03,26155,1.8,0.34,0.75,0.17,29,181,Overall
EuroCOVIDhub-baseline,inc case,3,Overall,7109,1581,2590,2938,1,10408,1,0.4,0.85,0.09,32,724,Overall
EuroCOVIDhub-ensemble,inc case,3,Overall,7284,2298,1560,3426,1.03,10766,1.03,0.38,0.83,0.09,32,724,Overall
EuroCOVIDhub-mean,inc case,3,Overall,8007,2426,1510,4071,1.14,11701,1.12,0.39,0.83,0.13,32,724,Overall
EuroCOVIDhub-median,inc case,3,Overall,6887,1987,1980,2920,0.97,10074,0.96,0.38,0.8,0,32,724,Overall
IEM_Health-CovidProject,inc case,3,Overall,9482,2307,2234,4941,1.26,13270,1.2,0.28,0.64,0.12,32,714,Overall
ILM-EKF,inc case,3,Overall,13600,3282,1857,8462,1.96,18710,1.82,0.36,0.78,0.02,32,723,Overall
LANL-GrowthRate,inc case,3,Overall,6547,2363,2416,1767,0.9,9258,0.86,0.42,0.79,-0.14,32,693,Overall
USC-SIkJalpha,inc case,3,Overall,8327,1475,3670,3182,1.23,10302,1,0.26,0.36,-0.06,32,724,Overall
epiforecasts-EpiExpert,inc case,3,Overall,15546,3178,2950,9417,1.25,22046,1.17,0.25,0.67,0.25,32,224,Overall
epiforecasts-EpiNow2,inc case,3,Overall,9837,3954,1697,4186,1.42,14437,1.41,0.38,0.78,-0.03,32,722,Overall
Karlen-pypm,inc case,3,Overall,40909,4763,2793,33354,2.87,51177,2.39,0.24,0.63,0.2,29,152,Overall
EuroCOVIDhub-baseline,inc case,4,Overall,8557,1963,2856,3738,1,12689,1,0.39,0.83,0.11,32,691,Overall
EuroCOVIDhub-ensemble,inc case,4,Overall,10371,3233,2048,5091,1.21,15267,1.19,0.34,0.77,0.13,32,691,Overall
EuroCOVIDhub-mean,inc case,4,Overall,12193,3511,1971,6710,1.45,17491,1.37,0.35,0.78,0.17,32,691,Overall
EuroCOVIDhub-median,inc case,4,Overall,9039,2479,2652,3908,1.06,13546,1.05,0.33,0.76,0.02,32,691,Overall
IEM_Health-CovidProject,inc case,4,Overall,13055,3110,2958,6986,1.42,18357,1.33,0.26,0.58,0.11,32,682,Overall
ILM-EKF,inc case,4,Overall,26684,6511,2520,17653,3.36,36648,3.05,0.34,0.75,0.02,32,689,Overall
LANL-GrowthRate,inc case,4,Overall,7991,2536,3214,2241,0.93,11310,0.87,0.35,0.75,-0.05,32,660,Overall
USC-SIkJalpha,inc case,4,Overall,10523,1834,4460,4229,1.3,12717,1.02,0.25,0.34,-0.06,32,691,Overall
epiforecasts-EpiExpert,inc case,4,Overall,21795,5024,3429,13342,1.65,30524,1.47,0.25,0.64,0.31,32,220,Overall
epiforecasts-EpiNow2,inc case,4,Overall,12485,4600,2485,5399,1.5,18560,1.48,0.34,0.72,-0.05,32,689,Overall
Karlen-pypm,inc case,4,Overall,63270,7968,2206,53096,3.08,80245,2.6,0.22,0.61,0.32,29,123,Overall
EuroCOVIDhub-relative_skill_weighted_mean,inc case,1,Overall,2068,911,432,725,0.7,3139,0.75,0.59,0.92,0.01,32,656,Overall
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,1,Overall,1949,881,332,736,0.7,2968,0.74,0.6,0.93,0.03,32,650,Overall
EuroCOVIDhub-relative_skill_weighted_median,inc case,1,Overall,2023,802,480,741,0.68,3171,0.76,0.54,0.91,-0.02,32,656,Overall
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,1,Overall,1891,776,378,737,0.67,3018,0.75,0.56,0.92,-0.01,32,650,Overall
LANL-GrowthRate,inc case,5,Overall,9263,2542,3944,2778,NA,12925,NA,0.27,0.7,0.03,32,628,Overall
USC-SIkJalpha,inc case,5,Overall,12499,2210,5157,5132,NA,14874,NA,0.23,0.32,-0.08,32,659,Overall
EuroCOVIDhub-relative_skill_weighted_mean,inc case,2,Overall,4302,1435,949,1917,0.87,6329,0.88,0.48,0.87,0.06,32,623,Overall
EuroCOVIDhub-relative_skill_weighted_median,inc case,2,Overall,3959,1276,1148,1535,0.8,5725,0.8,0.46,0.85,-0.02,32,623,Overall
LANL-GrowthRate,inc case,6,Overall,10336,2604,4494,3237,NA,14602,NA,0.24,0.66,0.09,32,596,Overall
EuroCOVIDhub-relative_skill_weighted_mean,inc case,3,Overall,7096,2069,1585,3442,1.06,10378,1.07,0.39,0.81,0.1,32,590,Overall
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,2,Overall,3794,1324,706,1763,0.85,5585,0.86,0.48,0.87,0.06,32,584,Overall
EuroCOVIDhub-relative_skill_weighted_median,inc case,3,Overall,6307,1703,2044,2561,0.95,9126,0.95,0.39,0.78,-0.03,32,590,Overall
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,2,Overall,3526,1157,885,1484,0.79,5128,0.8,0.45,0.85,-0.02,32,584,Overall
epiforecasts-EpiExpert_Rt,inc case,1,Overall,5216,2376,493,2348,0.89,7820,0.91,0.58,0.93,0.1,19,99,Overall
EuroCOVIDhub-relative_skill_weighted_mean,inc case,4,Overall,10843,2925,2178,5741,1.37,15461,1.32,0.34,0.76,0.13,32,557,Overall
EuroCOVIDhub-relative_skill_weighted_median,inc case,4,Overall,8191,2034,2864,3293,1.03,11859,1.01,0.33,0.73,-0.01,32,557,Overall
epiforecasts-EpiExpert_Rt,inc case,2,Overall,9882,2915,1138,5829,0.97,14726,0.95,0.39,0.8,0.19,19,95,Overall
epiforecasts-EpiExpert_direct,inc case,1,Overall,5524,1486,1017,3022,0.74,8006,0.77,0.37,0.73,0.26,18,91,Overall
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,3,Overall,6345,1778,1459,3108,1.05,9300,1.06,0.36,0.8,0.09,32,518,Overall
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,3,Overall,5714,1418,1829,2468,0.95,8374,0.96,0.36,0.74,-0.05,32,518,Overall
MUNI-ARIMA,inc case,1,Overall,2030,565,921,543,0.73,2749,0.73,0.57,0.9,-0.03,32,535,Overall
epiforecasts-EpiExpert_Rt,inc case,3,Overall,15869,3222,2429,10218,1.18,22994,1.09,0.34,0.75,0.22,19,92,Overall
epiforecasts-EpiExpert_direct,inc case,2,Overall,12558,2424,2612,7522,0.89,17214,0.85,0.29,0.62,0.26,18,87,Overall
MUNI-ARIMA,inc case,2,Overall,3974,1139,1541,1295,0.78,5553,0.76,0.58,0.91,-0.06,32,502,Overall
epiforecasts-EpiExpert_Rt,inc case,4,Overall,21162,3783,4451,12928,1.38,29864,1.23,0.27,0.65,0.21,19,88,Overall
epiforecasts-EpiExpert_direct,inc case,3,Overall,23812,4344,4548,14920,1.29,32642,1.2,0.17,0.51,0.26,17,82,Overall
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,4,Overall,9664,2467,2233,4964,1.37,13755,1.33,0.29,0.69,0.09,32,452,Overall
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,4,Overall,7102,1495,2798,2809,1.01,10102,0.98,0.28,0.67,-0.08,32,452,Overall
RobertWalraven-ESG,inc case,1,Overall,3008,437,1692,879,1.13,4449,1.02,0.36,0.72,-0.17,32,790,Overall
epiforecasts-EpiExpert_direct,inc case,4,Overall,37666,8381,6106,23179,1.9,50381,1.68,0.2,0.44,0.28,17,79,Overall
MUNI-ARIMA,inc case,3,Overall,6037,1626,2485,1926,0.84,8788,0.85,0.55,0.9,-0.13,32,439,Overall
RobertWalraven-ESG,inc case,2,Overall,5455,529,3712,1215,1.04,7237,0.92,0.32,0.64,-0.25,32,757,Overall
MUNI-ARIMA,inc case,4,Overall,7759,2088,3377,2294,0.89,11566,0.91,0.51,0.89,-0.17,32,407,Overall
RobertWalraven-ESG,inc case,3,Overall,7427,602,5652,1173,0.99,9550,0.89,0.29,0.59,-0.27,32,724,Overall
RobertWalraven-ESG,inc case,4,Overall,8871,666,7287,917,0.93,10920,0.83,0.31,0.59,-0.29,32,691,Overall
EuroCOVIDhub-baseline,inc death,1,Overall,41,13,10,18,1,55,1,0.54,0.96,0.11,32,795,Overall
EuroCOVIDhub-ensemble,inc death,1,Overall,24,13,6,5,0.56,33,0.58,0.7,0.97,0.09,32,795,Overall
EuroCOVIDhub-mean,inc death,1,Overall,24,13,5,5,0.56,33,0.58,0.71,0.98,0.1,32,795,Overall
EuroCOVIDhub-median,inc death,1,Overall,23,12,6,4,0.54,31,0.56,0.68,0.97,0.06,32,795,Overall
IEM_Health-CovidProject,inc death,1,Overall,34,18,7,9,0.81,51,0.9,0.55,0.89,0.05,32,781,Overall
ILM-EKF,inc death,1,Overall,34,22,5,7,0.81,41,0.71,0.86,0.99,0.1,32,794,Overall
LANL-GrowthRate,inc death,1,Overall,28,7,15,6,0.67,40,0.72,0.38,0.85,-0.03,32,764,Overall
RobertWalraven-ESG,inc death,1,Overall,31,10,12,10,0.74,43,0.77,0.6,0.86,-0.06,32,795,Overall
USC-SIkJalpha,inc death,1,Overall,38,12,9,17,0.92,45,0.82,0.38,0.5,0.19,32,795,Overall
epiforecasts-EpiExpert,inc death,1,Overall,66,15,19,31,0.79,93,0.86,0.39,0.78,0.15,32,234,Overall
epiforecasts-EpiNow2,inc death,1,Overall,37,15,9,13,0.89,52,0.95,0.55,0.93,0.14,32,768,Overall
Karlen-pypm,inc death,1,Overall,20,9,5,5,0.7,31,0.77,0.57,0.97,-0.09,29,210,Overall
EuroCOVIDhub-baseline,inc death,2,Overall,65,25,12,28,1,90,1,0.66,0.94,0.12,32,762,Overall
EuroCOVIDhub-ensemble,inc death,2,Overall,31,17,6,8,0.44,44,0.45,0.67,0.97,0.14,32,762,Overall
EuroCOVIDhub-mean,inc death,2,Overall,31,17,6,9,0.44,43,0.45,0.69,0.97,0.17,32,762,Overall
EuroCOVIDhub-median,inc death,2,Overall,30,16,7,7,0.43,44,0.46,0.64,0.97,0.1,32,762,Overall
IEM_Health-CovidProject,inc death,2,Overall,54,25,11,18,0.77,82,0.86,0.49,0.87,0.08,32,749,Overall
ILM-EKF,inc death,2,Overall,47,26,6,14,0.64,62,0.62,0.8,0.98,0.14,32,761,Overall
Imperial-DeCa,inc death,1,Overall,79,3,62,14,1.23,88,1.04,0.2,0.45,-0.22,22,353,Overall
Imperial-RtI0,inc death,1,Overall,73,8,42,23,1.13,91,1.08,0.34,0.68,-0.06,22,353,Overall
Imperial-sbkp,inc death,1,Overall,72,5,42,25,1.09,86,0.98,0.26,0.62,-0.06,22,353,Overall
LANL-GrowthRate,inc death,2,Overall,37,9,21,8,0.53,55,0.57,0.38,0.81,-0.04,32,731,Overall
RobertWalraven-ESG,inc death,2,Overall,48,12,21,16,0.7,64,0.69,0.61,0.84,-0.09,32,762,Overall
USC-SIkJalpha,inc death,2,Overall,45,14,9,22,0.66,59,0.62,0.39,0.52,0.23,32,762,Overall
epiforecasts-EpiExpert,inc death,2,Overall,100,22,27,51,0.72,146,0.76,0.31,0.75,0.22,32,229,Overall
epiforecasts-EpiNow2,inc death,2,Overall,54,19,11,24,0.77,77,0.8,0.5,0.91,0.2,32,735,Overall
Karlen-pypm,inc death,2,Overall,36,14,8,14,0.65,57,0.72,0.45,0.95,-0.01,29,181,Overall
EuroCOVIDhub-baseline,inc death,3,Overall,88,35,14,39,1,121,1,0.68,0.92,0.14,32,729,Overall
EuroCOVIDhub-ensemble,inc death,3,Overall,40,21,6,12,0.42,57,0.45,0.64,0.95,0.2,32,729,Overall
EuroCOVIDhub-mean,inc death,3,Overall,40,22,5,13,0.43,57,0.45,0.65,0.95,0.23,32,729,Overall
EuroCOVIDhub-median,inc death,3,Overall,39,19,8,11,0.4,58,0.44,0.61,0.96,0.13,32,729,Overall
IEM_Health-CovidProject,inc death,3,Overall,78,33,14,32,0.82,120,0.92,0.46,0.87,0.11,32,717,Overall
ILM-EKF,inc death,3,Overall,63,32,8,23,0.64,90,0.66,0.71,0.97,0.15,32,727,Overall
LANL-GrowthRate,inc death,3,Overall,47,12,26,10,0.47,70,0.5,0.36,0.77,-0.01,32,698,Overall
RobertWalraven-ESG,inc death,3,Overall,67,14,31,23,0.7,87,0.67,0.61,0.83,-0.12,32,729,Overall
USC-SIkJalpha,inc death,3,Overall,60,16,11,32,0.65,77,0.61,0.35,0.49,0.27,32,729,Overall
epiforecasts-EpiExpert,inc death,3,Overall,112,30,21,60,0.62,169,0.67,0.32,0.76,0.31,32,223,Overall
epiforecasts-EpiNow2,inc death,3,Overall,76,29,12,36,0.8,109,0.83,0.49,0.89,0.22,32,702,Overall
Karlen-pypm,inc death,3,Overall,67,21,11,34,0.75,105,0.83,0.36,0.85,0.07,29,152,Overall
EuroCOVIDhub-baseline,inc death,4,Overall,111,42,16,53,1,154,1,0.68,0.9,0.17,32,696,Overall
EuroCOVIDhub-ensemble,inc death,4,Overall,55,29,6,21,0.47,82,0.49,0.61,0.93,0.24,32,696,Overall
EuroCOVIDhub-mean,inc death,4,Overall,57,30,5,21,0.49,83,0.51,0.62,0.93,0.28,32,696,Overall
EuroCOVIDhub-median,inc death,4,Overall,49,24,8,17,0.41,74,0.44,0.58,0.94,0.14,32,696,Overall
IEM_Health-CovidProject,inc death,4,Overall,112,42,18,52,0.93,170,1.01,0.4,0.83,0.13,32,686,Overall
ILM-EKF,inc death,4,Overall,100,46,8,46,0.79,144,0.8,0.63,0.96,0.16,32,694,Overall
LANL-GrowthRate,inc death,4,Overall,52,15,24,13,0.42,77,0.45,0.36,0.76,0.02,32,665,Overall
RobertWalraven-ESG,inc death,4,Overall,84,15,39,30,0.69,109,0.65,0.6,0.82,-0.11,32,696,Overall
UMass-MechBayes,inc death,1,Overall,28,13,6,9,0.77,40,0.86,0.54,0.92,0.1,32,695,Overall
USC-SIkJalpha,inc death,4,Overall,69,21,11,37,0.6,90,0.55,0.35,0.5,0.23,32,696,Overall
epiforecasts-EpiExpert,inc death,4,Overall,144,40,22,82,0.63,218,0.66,0.29,0.73,0.33,32,219,Overall
epiforecasts-EpiNow2,inc death,4,Overall,107,45,11,51,0.89,151,0.9,0.48,0.9,0.2,32,671,Overall
Karlen-pypm,inc death,4,Overall,135,37,13,85,0.99,212,1.09,0.28,0.82,0.18,29,123,Overall
EuroCOVIDhub-relative_skill_weighted_mean,inc death,1,Overall,18,10,4,4,0.52,25,0.54,0.69,0.97,0.1,32,655,Overall
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,1,Overall,18,10,4,4,0.51,24,0.54,0.69,0.97,0.1,32,655,Overall
EuroCOVIDhub-relative_skill_weighted_median,inc death,1,Overall,18,9,5,4,0.51,25,0.55,0.65,0.96,0.05,32,655,Overall
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,1,Overall,18,9,5,4,0.51,25,0.55,0.66,0.97,0.05,32,655,Overall
LANL-GrowthRate,inc death,5,Overall,60,19,25,17,NA,91,NA,0.33,0.74,0.1,32,633,Overall
