model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,2,AT,6,3,0,3,0.45,11,0.52,0.37,1,0.24,1,19,Austria
UMass-MechBayes,inc death,4,AT,11,6,1,4,0.4,16,0.42,0.53,0.95,0.08,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc death,4,AT,14,6,0,8,0.58,22,0.61,0.56,0.83,0.45,1,18,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc death,4,AT,12,4,0,7,0.42,18,0.47,0.61,0.89,0.31,1,18,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,3,AT,9,4,0,5,0.5,14,0.57,0.47,0.94,0.41,1,17,Austria
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,3,AT,8,3,0,4,0.41,12,0.49,0.53,0.94,0.29,1,17,Austria
MUNI-ARIMA,inc death,1,AT,7,3,1,3,0.99,12,1.09,0.59,1,0.05,1,17,Austria
MUNI-ARIMA,inc death,2,AT,10,5,1,4,0.84,16,0.9,0.56,1,0.09,1,16,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,4,AT,12,5,0,7,0.65,17,0.68,0.53,0.87,0.4,1,15,Austria
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,4,AT,9,3,0,6,0.47,14,0.52,0.67,0.87,0.21,1,15,Austria
MUNI-ARIMA,inc death,3,AT,9,6,1,3,0.77,12,0.87,0.79,1,0.04,1,14,Austria
MUNI-ARIMA,inc death,4,AT,10,7,1,2,0.74,13,0.79,0.77,1,-0.02,1,13,Austria
Karlen-pypm,inc death,1,AT,3,1,0,1,0.57,5,0.73,0.43,1,0.28,1,7,Austria
Karlen-pypm,inc death,2,AT,4,2,0,2,0.51,7,0.61,0.5,0.83,0.51,1,6,Austria
Karlen-pypm,inc death,3,AT,10,3,0,6,1.05,16,1.34,0.4,0.6,0.62,1,5,Austria
Karlen-pypm,inc death,4,AT,28,8,0,20,1.85,41,2.24,0.25,0.75,0.61,1,4,Austria
EuroCOVIDhub-baseline,inc case,1,BE,2050,603,705,742,1,2845,1,0.44,1,-0.03,1,25,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,1674,898,381,395,0.92,2557,0.98,0.52,0.96,-0.02,1,25,Belgium
EuroCOVIDhub-mean,inc case,1,BE,1688,913,387,388,0.93,2559,0.99,0.52,0.96,-0.03,1,25,Belgium
EuroCOVIDhub-median,inc case,1,BE,1681,846,382,454,0.91,2683,1.02,0.52,0.96,-0.04,1,25,Belgium
IEM_Health-CovidProject,inc case,1,BE,1871,872,298,701,0.98,2998,1.14,0.44,0.96,0.11,1,25,Belgium
ILM-EKF,inc case,1,BE,1851,751,404,696,0.96,2937,1.09,0.48,0.88,0.03,1,25,Belgium
LANL-GrowthRate,inc case,1,BE,2131,1041,1020,70,1.27,3201,1.37,0.5,0.92,-0.43,1,24,Belgium
USC-SIkJalpha,inc case,1,BE,2513,678,925,910,1.37,3235,1.21,0.36,0.52,0.03,1,25,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2259,1224,435,600,1.3,3216,1.29,0.6,0.8,-0.03,1,25,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,3269,1223,992,1053,1,4910,1,0.42,1,0.04,1,24,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,3032,1364,791,877,0.92,4456,0.86,0.58,0.92,0.03,1,24,Belgium
EuroCOVIDhub-mean,inc case,2,BE,3079,1379,795,904,0.95,4593,0.91,0.58,0.92,0.06,1,24,Belgium
EuroCOVIDhub-median,inc case,2,BE,3157,1290,868,999,0.95,4611,0.89,0.54,0.83,0.03,1,24,Belgium
IEM_Health-CovidProject,inc case,2,BE,3585,1266,824,1495,1.05,5799,1.14,0.29,0.83,0.19,1,24,Belgium
ILM-EKF,inc case,2,BE,3775,1392,909,1474,1.12,5470,1.07,0.5,0.83,0.09,1,24,Belgium
LANL-GrowthRate,inc case,2,BE,3135,1275,1396,463,1.02,4869,1.06,0.52,0.91,-0.36,1,23,Belgium
USC-SIkJalpha,inc case,2,BE,4727,778,1800,2149,1.73,5468,1.29,0.33,0.42,0.05,1,24,Belgium
epiforecasts-EpiNow2,inc case,2,BE,4037,1840,949,1247,1.3,5400,1.09,0.58,0.75,-0.03,1,24,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,4136,1771,1076,1290,1,6533,1,0.48,1,0.08,1,23,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,4718,1934,1292,1492,1.03,6732,0.91,0.52,0.87,0.1,1,23,Belgium
EuroCOVIDhub-mean,inc case,3,BE,4821,2002,1291,1529,1.08,6927,0.97,0.52,0.87,0.11,1,23,Belgium
EuroCOVIDhub-median,inc case,3,BE,4816,1825,1401,1591,1.04,6921,0.93,0.61,0.83,0.05,1,23,Belgium
IEM_Health-CovidProject,inc case,3,BE,5735,1775,1358,2602,1.21,8889,1.2,0.3,0.78,0.21,1,23,Belgium
ILM-EKF,inc case,3,BE,6111,2261,1330,2521,1.38,9001,1.28,0.43,0.83,0.11,1,23,Belgium
LANL-GrowthRate,inc case,3,BE,4142,1480,1879,783,0.97,6313,0.95,0.5,0.77,-0.24,1,22,Belgium
USC-SIkJalpha,inc case,3,BE,4730,862,2724,1144,1.15,5391,0.84,0.35,0.35,-0.02,1,23,Belgium
epiforecasts-EpiNow2,inc case,3,BE,5821,2540,1467,1815,1.39,7714,1.08,0.52,0.78,0.04,1,23,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,4537,2289,721,1527,1,7336,1,0.41,1,0.08,1,22,Belgium
