model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
ILM-EKF,inc death,1,DE,191,99,0,92,1.44,1.71,0.25,1,0.6,1,4,Germany
ITWW-county_repro,inc death,1,DE,159,7,126,26,1.2,0.96,0,0.25,-0.49,1,4,Germany
Karlen-pypm,inc death,1,DE,145,88,0,57,1.09,1.33,0.75,1,0.48,1,4,Germany
LANL-GrowthRate,inc death,1,DE,71,43,0,28,0.54,0.58,0.5,1,0.5,1,4,Germany
MIT_CovidAnalytics-DELPHI,inc death,1,DE,164,100,0,64,1.24,1.36,0.75,1,0.48,1,4,Germany
RobertWalraven-ESG,inc death,1,DE,138,71,67,0,1.05,1.22,0.5,1,-0.58,1,4,Germany
USC-SIkJalpha,inc death,1,DE,191,146,0,44,1.44,1.35,1,1,0.22,1,4,Germany
epiforecasts-EpiExpert,inc death,1,DE,97,30,13,54,0.74,0.88,0,1,0.39,1,4,Germany
epiforecasts-EpiNow2,inc death,1,DE,497,115,0,381,3.75,4.05,0,0.75,0.96,1,4,Germany
itwm-dSEIR,inc death,1,DE,140,62,0,77,1.06,1.17,0.75,1,0.5,1,4,Germany
EuroCOVIDhub-baseline,inc case,1,DK,1541,151,886,505,1,1,0,1,-0.05,1,4,Denmark
EuroCOVIDhub-ensemble,inc case,1,DK,1429,238,491,700,0.93,0.9,0,0.5,-0.05,1,4,Denmark
IEM_Health-CovidProject,inc case,1,DK,1385,294,387,705,0.9,0.74,0.5,0.5,0.1,1,4,Denmark
ILM-EKF,inc case,1,DK,1448,256,448,744,0.94,0.94,0.25,0.75,-0.11,1,4,Denmark
LANL-GrowthRate,inc case,1,DK,1134,219,462,453,0.74,0.7,0.5,0.5,-0.22,1,4,Denmark
USC-SIkJalpha,inc case,1,DK,1415,207,566,642,0.92,0.78,0,0,-0.5,1,4,Denmark
epiforecasts-EpiNow2,inc case,1,DK,1754,240,823,691,1.14,1.12,0,0.5,-0.04,1,4,Denmark
EuroCOVIDhub-baseline,inc death,1,DK,3,2,0,1,1,1,1,1,0.08,1,4,Denmark
EuroCOVIDhub-ensemble,inc death,1,DK,3,2,0,1,0.94,0.94,1,1,0.13,1,4,Denmark
IEM_Health-CovidProject,inc death,1,DK,3,1,2,0,1.13,1.37,0.5,1,-0.48,1,4,Denmark
ILM-EKF,inc death,1,DK,5,5,0,1,1.79,0.94,1,1,0.22,1,4,Denmark
LANL-GrowthRate,inc death,1,DK,1,1,0,0,0.36,0.25,1,1,-0.05,1,4,Denmark
RobertWalraven-ESG,inc death,1,DK,4,2,1,2,1.51,2,0.25,1,0.07,1,4,Denmark
USC-SIkJalpha,inc death,1,DK,4,3,0,0,1.21,1,1,1,0.03,1,4,Denmark
epiforecasts-EpiNow2,inc death,1,DK,7,2,0,5,2.25,2.5,0.5,0.5,0.54,1,4,Denmark
EuroCOVIDhub-baseline,inc case,1,EE,1025,31,166,827,1,1,0.25,0.25,0.35,1,4,Estonia
EuroCOVIDhub-ensemble,inc case,1,EE,854,420,0,434,0.83,0.98,0.5,1,0.49,1,4,Estonia
IEM_Health-CovidProject,inc case,1,EE,1248,310,0,939,1.22,1.69,0,1,0.82,1,4,Estonia
ILM-EKF,inc case,1,EE,1669,461,0,1208,1.63,2.11,0.25,0.75,0.78,1,4,Estonia
LANL-GrowthRate,inc case,1,EE,614,298,25,291,0.6,0.84,0.5,1,0.35,1,4,Estonia
USC-SIkJalpha,inc case,1,EE,1692,855,610,226,1.65,2.12,0.25,1,-0.08,1,4,Estonia
epiforecasts-EpiNow2,inc case,1,EE,760,316,3,441,0.74,0.95,0.5,1,0.52,1,4,Estonia
EuroCOVIDhub-baseline,inc death,1,EE,5,0,3,1,1,1,0,1,-0.4,1,4,Estonia
EuroCOVIDhub-ensemble,inc death,1,EE,6,5,0,1,1.22,1,1,1,0.18,1,4,Estonia
IEM_Health-CovidProject,inc death,1,EE,7,5,1,1,1.36,1.34,1,1,0.03,1,4,Estonia
ILM-EKF,inc death,1,EE,13,13,0,1,2.7,1.1,1,1,0.1,1,4,Estonia
LANL-GrowthRate,inc death,1,EE,9,2,4,3,1.74,1.9,0.25,1,-0.1,1,4,Estonia
RobertWalraven-ESG,inc death,1,EE,3,1,1,1,0.6,0.76,0,1,0.32,1,4,Estonia
USC-SIkJalpha,inc death,1,EE,9,5,1,3,1.81,1.83,0.5,1,0.05,1,4,Estonia
epiforecasts-EpiNow2,inc death,1,EE,9,4,0,5,1.77,1.86,0.5,1,0.52,1,4,Estonia
EuroCOVIDhub-baseline,inc death,1,ES,704,74,232,398,1,1,0,1,0.38,1,4,Spain
EuroCOVIDhub-ensemble,inc death,1,ES,534,95,282,158,0.75,0.72,0,0.75,0.29,1,4,Spain
IEM_Health-CovidProject,inc death,1,ES,468,121,246,100,0.57,0.65,0.5,0.75,0.15,1,4,Spain
ILM-EKF,inc death,1,ES,1046,170,333,543,1.6,1.3,0.5,0.5,0.17,1,4,Spain
LANL-GrowthRate,inc death,1,ES,461,36,358,66,0.59,0.52,0.25,0.75,0.05,1,4,Spain
RobertWalraven-ESG,inc death,1,ES,426,90,260,76,0.55,0.57,0.5,0.75,0.18,1,4,Spain
USC-SIkJalpha,inc death,1,ES,650,68,348,234,0.92,0.73,0.25,0.5,0.22,1,4,Spain
epiforecasts-EpiNow2,inc death,1,ES,355,98,200,57,0.48,0.53,0.25,1,0.01,1,4,Spain
UNED-PreCoV2,inc death,1,ES,138,132,0,6,0.2,0.41,1,1,0.2,1,4,Spain
EuroCOVIDhub-baseline,inc case,1,FI,416,36,109,271,1,1,0.25,0.25,0.35,1,4,Finland
EuroCOVIDhub-ensemble,inc case,1,FI,430,213,0,217,1.03,1.15,0.5,1,0.55,1,4,Finland
IEM_Health-CovidProject,inc case,1,FI,449,225,0,224,1.08,1.34,0.5,1,0.58,1,4,Finland
ILM-EKF,inc case,1,FI,568,259,0,309,1.37,1.56,0.5,1,0.58,1,4,Finland
LANL-GrowthRate,inc case,1,FI,310,164,0,146,0.74,0.89,0.75,1,0.52,1,4,Finland
USC-SIkJalpha,inc case,1,FI,579,344,34,201,1.39,1.24,0.5,0.5,0.48,1,4,Finland
epiforecasts-EpiNow2,inc case,1,FI,488,138,0,350,1.17,1.43,0,0.75,0.83,1,4,Finland
EuroCOVIDhub-baseline,inc death,1,FI,5,1,3,2,1,1,0.25,1,0.16,1,4,Finland
EuroCOVIDhub-ensemble,inc death,1,FI,4,2,1,1,0.79,0.73,0.5,1,0.02,1,4,Finland
IEM_Health-CovidProject,inc death,1,FI,6,3,3,0,1.11,1.3,0.75,1,-0.35,1,4,Finland
ILM-EKF,inc death,1,FI,7,5,1,1,1.39,1.23,0.75,1,0.07,1,4,Finland
LANL-GrowthRate,inc death,1,FI,4,2,1,1,0.72,0.8,0.25,1,0.15,1,4,Finland
RobertWalraven-ESG,inc death,1,FI,6,2,4,0,1.14,0.87,0.75,0.75,-0.2,1,4,Finland
