model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
itwm-dSEIR,inc death,1,DE,78,27,22,30,0.94,116,1.03,0.37,0.78,0.1,1,27,Germany
EuroCOVIDhub-baseline,inc death,2,DE,135,79,12,43,1,202,1,0.85,1,0.18,1,26,Germany
EuroCOVIDhub-ensemble,inc death,2,DE,79,50,7,22,0.53,117,0.52,0.73,0.96,0.19,1,26,Germany
FIAS_FZJ-Epi1Ger,inc death,2,DE,239,21,39,179,1.58,305,1.37,0.04,0.31,0.2,1,26,Germany
IEM_Health-CovidProject,inc death,2,DE,146,79,53,14,0.99,232,1.06,0.62,0.88,-0.1,1,26,Germany
ILM-EKF,inc death,2,DE,135,75,6,54,0.93,204,0.93,0.65,0.96,0.18,1,26,Germany
ITWW-county_repro,inc death,2,DE,94,7,46,40,0.65,117,0.56,0.04,0.23,-0.12,1,26,Germany
Karlen-pypm,inc death,2,DE,115,47,6,61,0.82,184,0.89,0.35,0.88,0.3,1,26,Germany
LANL-GrowthRate,inc death,2,DE,109,34,64,12,0.68,171,0.76,0.48,0.92,-0.29,1,25,Germany
MIT_CovidAnalytics-DELPHI,inc death,2,DE,119,65,21,33,0.82,191,0.89,0.5,0.92,-0.03,1,26,Germany
RobertWalraven-ESG,inc death,2,DE,128,42,73,13,0.81,184,0.81,0.58,0.92,-0.08,1,26,Germany
USC-SIkJalpha,inc death,2,DE,115,55,12,48,0.8,179,0.83,0.54,0.62,0.25,1,26,Germany
epiforecasts-EpiExpert,inc death,2,DE,112,32,21,59,0.82,177,0.88,0.27,0.73,0.26,1,26,Germany
epiforecasts-EpiNow2,inc death,2,DE,221,77,15,129,1.46,336,1.53,0.31,0.81,0.26,1,26,Germany
itwm-dSEIR,inc death,2,DE,105,38,26,41,0.77,154,0.76,0.35,0.73,0.12,1,26,Germany
EuroCOVIDhub-baseline,inc death,3,DE,180,107,13,60,1,279,1,0.72,1,0.21,1,25,Germany
EuroCOVIDhub-ensemble,inc death,3,DE,109,66,6,37,0.55,165,0.54,0.64,0.92,0.26,1,25,Germany
FIAS_FZJ-Epi1Ger,inc death,3,DE,326,37,37,252,1.62,426,1.37,0.04,0.36,0.18,1,25,Germany
IEM_Health-CovidProject,inc death,3,DE,206,95,79,33,1.05,335,1.1,0.52,0.92,-0,1,25,Germany
ILM-EKF,inc death,3,DE,205,96,10,99,1.04,327,1.07,0.4,0.92,0.19,1,25,Germany
ITWW-county_repro,inc death,3,DE,140,13,30,97,0.7,177,0.58,0.12,0.32,0.21,1,25,Germany
Karlen-pypm,inc death,3,DE,179,61,9,109,0.92,285,0.96,0.08,0.8,0.3,1,25,Germany
LANL-GrowthRate,inc death,3,DE,148,43,82,23,0.68,236,0.75,0.33,0.96,-0.24,1,24,Germany
MIT_CovidAnalytics-DELPHI,inc death,3,DE,126,81,26,19,0.65,189,0.65,0.72,0.92,-0.05,1,25,Germany
RobertWalraven-ESG,inc death,3,DE,189,50,111,28,0.88,278,0.87,0.48,0.88,-0.09,1,25,Germany
USC-SIkJalpha,inc death,3,DE,157,63,10,84,0.82,249,0.82,0.44,0.56,0.28,1,25,Germany
epiforecasts-EpiExpert,inc death,3,DE,130,40,22,68,0.71,207,0.74,0.36,0.76,0.26,1,25,Germany
epiforecasts-EpiNow2,inc death,3,DE,319,118,14,187,1.58,484,1.58,0.24,0.8,0.31,1,25,Germany
itwm-dSEIR,inc death,3,DE,149,51,29,69,0.8,215,0.75,0.2,0.68,0.15,1,25,Germany
EuroCOVIDhub-baseline,inc death,4,DE,220,130,12,78,1,349,1,0.67,1,0.22,1,24,Germany
EuroCOVIDhub-ensemble,inc death,4,DE,144,88,5,51,0.58,216,0.56,0.58,1,0.29,1,24,Germany
FIAS_FZJ-Epi1Ger,inc death,4,DE,411,58,32,321,1.67,545,1.39,0.17,0.42,0.21,1,24,Germany
IEM_Health-CovidProject,inc death,4,DE,270,113,100,58,1.12,442,1.15,0.46,0.96,0.04,1,24,Germany
ILM-EKF,inc death,4,DE,299,133,13,153,1.21,476,1.23,0.33,0.88,0.15,1,24,Germany
ITWW-county_repro,inc death,4,DE,236,23,17,195,0.91,300,0.76,0.08,0.29,0.26,1,24,Germany
Karlen-pypm,inc death,4,DE,272,81,11,180,1.11,421,1.09,0.21,0.67,0.27,1,24,Germany
LANL-GrowthRate,inc death,4,DE,184,55,93,36,0.68,303,0.75,0.48,0.91,-0.24,1,23,Germany
MIT_CovidAnalytics-DELPHI,inc death,4,DE,143,95,30,17,0.6,198,0.56,0.67,0.96,-0.09,1,24,Germany
RobertWalraven-ESG,inc death,4,DE,246,57,144,44,0.9,367,0.89,0.5,0.88,-0.08,1,24,Germany
UMass-MechBayes,inc death,1,DE,73,38,31,4,0.92,122,1.24,0.54,1,-0.38,1,24,Germany
USC-SIkJalpha,inc death,4,DE,203,81,12,110,0.85,313,0.82,0.42,0.5,0.19,1,24,Germany
epiforecasts-EpiExpert,inc death,4,DE,145,49,20,76,0.63,233,0.64,0.33,0.83,0.31,1,24,Germany
epiforecasts-EpiNow2,inc death,4,DE,443,200,14,230,1.83,646,1.7,0.21,0.88,0.3,1,24,Germany
itwm-dSEIR,inc death,4,DE,223,76,35,112,0.95,324,0.89,0.29,0.75,0.14,1,24,Germany
LANL-GrowthRate,inc death,5,DE,208,67,96,45,NA,342,NA,0.36,0.91,-0.15,1,22,Germany
UMass-MechBayes,inc death,2,DE,87,41,44,2,0.67,141,0.79,0.39,0.96,-0.43,1,23,Germany
USC-SIkJalpha,inc death,5,DE,263,103,16,144,NA,387,NA,0.39,0.43,0.19,1,23,Germany
LANL-GrowthRate,inc death,6,DE,238,78,101,58,NA,406,NA,0.24,0.9,-0.02,1,21,Germany
UMass-MechBayes,inc death,3,DE,101,48,51,2,0.56,159,0.62,0.32,0.95,-0.5,1,22,Germany
UMass-MechBayes,inc death,4,DE,105,57,45,2,0.47,151,0.45,0.38,0.9,-0.46,1,21,Germany
HZI-AgeExtendedSEIR,inc death,1,DE,28,16,3,9,0.53,75,0.67,0.55,1,0.12,1,26,Germany
epiforecasts-EpiExpert_Rt,inc death,2,DE,173,41,27,105,1.84,264,1.95,0.16,0.47,0.13,1,19,Germany
HZI-AgeExtendedSEIR,inc death,2,DE,50,23,6,20,0.55,128,0.62,0.63,1,0.16,1,25,Germany
MUNI-ARIMA,inc death,1,DE,57,34,2,20,1.12,87,1.36,0.53,1,0.22,1,19,Germany
epiforecasts-EpiExpert_Rt,inc death,3,DE,196,48,27,121,1.46,293,1.45,0.11,0.56,0.12,1,18,Germany
epiforecasts-EpiExpert_direct,inc death,2,DE,61,19,6,36,0.68,95,0.75,0.37,0.74,0.32,1,19,Germany
HZI-AgeExtendedSEIR,inc death,3,DE,77,34,5,39,0.62,169,0.58,0.67,1,0.21,1,24,Germany
MUNI-ARIMA,inc death,2,DE,88,52,6,31,1.02,148,1.23,0.56,1,0.16,1,18,Germany
epiforecasts-EpiExpert_Rt,inc death,4,DE,227,53,26,148,1.34,338,1.28,0.12,0.53,0.05,1,17,Germany
epiforecasts-EpiExpert_direct,inc death,3,DE,88,23,8,57,0.71,126,0.69,0.33,0.72,0.31,1,18,Germany
HZI-AgeExtendedSEIR,inc death,4,DE,102,42,2,58,0.7,197,0.54,0.71,1,0.27,1,23,Germany
epiforecasts-EpiExpert_direct,inc death,4,DE,101,28,8,65,0.7,145,0.66,0.41,0.71,0.38,1,17,Germany
MUNI-ARIMA,inc death,3,DE,116,65,11,40,1.11,199,1.32,0.62,1,0.1,1,16,Germany
MUNI-ARIMA,inc death,4,DE,144,83,9,52,1.2,237,1.34,0.6,1,0.13,1,15,Germany
EuroCOVIDhub-baseline,inc case,1,DK,782,176,313,293,1,1168,1,0.3,1,0.06,1,27,Denmark
EuroCOVIDhub-ensemble,inc case,1,DK,717,262,201,254,0.91,1066,0.91,0.52,0.78,0.04,1,27,Denmark
IEM_Health-CovidProject,inc case,1,DK,899,241,270,388,1.19,1185,1.04,0.41,0.63,0.19,1,27,Denmark
ILM-EKF,inc case,1,DK,1022,290,324,408,1.41,1505,1.35,0.37,0.78,0.19,1,27,Denmark
LANL-GrowthRate,inc case,1,DK,742,296,208,238,0.98,999,0.87,0.58,0.85,-0.22,1,26,Denmark
USC-SIkJalpha,inc case,1,DK,1031,185,533,313,1.44,1258,1.14,0.22,0.33,-0.08,1,27,Denmark
epiforecasts-EpiNow2,inc case,1,DK,984,405,219,359,1.31,1430,1.26,0.59,0.81,0.04,1,27,Denmark
EuroCOVIDhub-baseline,inc case,2,DK,1050,344,323,383,1,1654,1,0.46,1,-0.05,1,26,Denmark
EuroCOVIDhub-ensemble,inc case,2,DK,1156,425,269,463,1.13,1704,1.05,0.5,0.85,0.06,1,26,Denmark
IEM_Health-CovidProject,inc case,2,DK,1429,352,386,691,1.4,1902,1.17,0.35,0.58,0.16,1,26,Denmark
ILM-EKF,inc case,2,DK,1654,495,432,727,1.72,2414,1.57,0.35,0.77,0.2,1,26,Denmark
LANL-GrowthRate,inc case,2,DK,1197,429,324,444,1.27,1669,1.11,0.52,0.84,-0.11,1,25,Denmark
USC-SIkJalpha,inc case,2,DK,1562,202,896,464,1.66,2025,1.33,0.31,0.42,-0.1,1,26,Denmark
epiforecasts-EpiNow2,inc case,2,DK,2031,919,329,782,2.17,2895,1.91,0.5,0.85,0.04,1,26,Denmark
EuroCOVIDhub-baseline,inc case,3,DK,1238,480,366,393,1,1971,1,0.4,1,-0.04,1,25,Denmark
EuroCOVIDhub-ensemble,inc case,3,DK,1656,642,398,616,1.4,2379,1.25,0.48,0.84,0.12,1,25,Denmark
IEM_Health-CovidProject,inc case,3,DK,1849,505,510,834,1.56,2442,1.28,0.4,0.68,0.21,1,25,Denmark
ILM-EKF,inc case,3,DK,2454,782,577,1095,2.19,3547,1.97,0.44,0.76,0.22,1,25,Denmark
LANL-GrowthRate,inc case,3,DK,1524,553,487,485,1.37,2173,1.21,0.5,0.79,-0.07,1,24,Denmark
USC-SIkJalpha,inc case,3,DK,2143,238,1283,622,1.88,2817,1.54,0.12,0.2,-0.2,1,25,Denmark
epiforecasts-EpiNow2,inc case,3,DK,3621,1797,597,1227,3.41,4995,2.87,0.52,0.84,0.11,1,25,Denmark
EuroCOVIDhub-baseline,inc case,4,DK,1455,591,441,422,1,2327,1,0.5,1,-0.08,1,24,Denmark
EuroCOVIDhub-ensemble,inc case,4,DK,2141,876,529,736,1.53,3118,1.4,0.5,0.83,0.07,1,24,Denmark
IEM_Health-CovidProject,inc case,4,DK,2230,702,653,874,1.59,2968,1.34,0.46,0.67,0.11,1,24,Denmark
ILM-EKF,inc case,4,DK,3597,1192,760,1646,2.84,5264,2.58,0.33,0.75,0.17,1,24,Denmark
LANL-GrowthRate,inc case,4,DK,1613,617,647,349,1.21,2359,1.1,0.35,0.83,-0.13,1,23,Denmark
USC-SIkJalpha,inc case,4,DK,2646,316,1563,766,1.99,3430,1.62,0.12,0.21,-0.2,1,24,Denmark
epiforecasts-EpiNow2,inc case,4,DK,5401,2621,837,1943,4.47,7938,4.03,0.38,0.83,0.06,1,24,Denmark
LANL-GrowthRate,inc case,5,DK,1664,640,711,312,NA,2541,NA,0.41,0.86,-0.12,1,22,Denmark
USC-SIkJalpha,inc case,5,DK,2940,413,1699,828,NA,3697,NA,0.26,0.3,-0.29,1,23,Denmark
LANL-GrowthRate,inc case,6,DK,1693,692,696,305,NA,2710,NA,0.43,0.9,-0.18,1,21,Denmark
MUNI-ARIMA,inc case,1,DK,569,212,248,110,0.72,865,0.73,0.47,0.89,-0.01,1,19,Denmark
MUNI-ARIMA,inc case,2,DK,1009,441,329,239,0.82,1500,0.76,0.61,0.89,-0.01,1,18,Denmark
RobertWalraven-ESG,inc case,1,DK,874,124,456,294,1.15,1169,1.01,0.37,0.63,-0.02,1,27,Denmark
MUNI-ARIMA,inc case,3,DK,1465,615,471,380,0.92,2259,0.88,0.5,0.94,-0.02,1,16,Denmark
RobertWalraven-ESG,inc case,2,DK,1508,151,853,504,1.19,1787,1.08,0.19,0.62,-0.2,1,26,Denmark
MUNI-ARIMA,inc case,4,DK,1813,769,532,512,0.99,2963,1.01,0.4,1,-0.03,1,15,Denmark
RobertWalraven-ESG,inc case,3,DK,2195,175,1283,737,1.34,2282,1.15,0.16,0.52,-0.35,1,25,Denmark
RobertWalraven-ESG,inc case,4,DK,2801,195,1725,881,1.47,2967,1.27,0.12,0.29,-0.41,1,24,Denmark
Karlen-pypm,inc case,1,DK,1037,490,136,411,1.32,1685,1.33,0.78,0.89,0.11,1,9,Denmark
Karlen-pypm,inc case,2,DK,2087,686,270,1131,1.98,3308,1.85,0.12,0.75,0.19,1,8,Denmark
Karlen-pypm,inc case,3,DK,3853,973,496,2385,2.85,5984,2.6,0.14,0.71,0.16,1,7,Denmark
Karlen-pypm,inc case,4,DK,5920,1360,594,3965,3.93,9051,3.54,0,0.67,0.04,1,6,Denmark
EuroCOVIDhub-baseline,inc death,1,DK,3,1,1,1,1,4,1,0.7,1,-0,1,27,Denmark
EuroCOVIDhub-ensemble,inc death,1,DK,3,1,1,1,0.92,4,0.95,0.52,0.96,0.06,1,27,Denmark
IEM_Health-CovidProject,inc death,1,DK,3,1,1,1,1.02,4,1.04,0.33,0.67,-0.04,1,27,Denmark
ILM-EKF,inc death,1,DK,4,4,0,0,1.62,4,0.89,0.81,1,0.13,1,27,Denmark
LANL-GrowthRate,inc death,1,DK,2,1,1,0,0.8,3,0.77,0.54,0.96,-0.06,1,26,Denmark
RobertWalraven-ESG,inc death,1,DK,3,1,1,1,0.89,4,0.91,0.41,1,-0.07,1,27,Denmark
USC-SIkJalpha,inc death,1,DK,3,1,1,1,1.25,4,0.95,0.3,0.37,0.04,1,27,Denmark
epiforecasts-EpiNow2,inc death,1,DK,3,1,1,1,1.11,5,1.09,0.37,0.85,0.15,1,27,Denmark
EuroCOVIDhub-baseline,inc death,2,DK,4,3,0,0,1,5,1,0.85,1,-0.03,1,26,Denmark
EuroCOVIDhub-ensemble,inc death,2,DK,3,1,1,1,0.83,4,0.91,0.58,0.96,0.1,1,26,Denmark
IEM_Health-CovidProject,inc death,2,DK,3,1,1,1,0.78,5,0.97,0.46,0.88,-0.01,1,26,Denmark
ILM-EKF,inc death,2,DK,5,5,0,1,1.56,4,0.97,0.81,1,0.15,1,26,Denmark
LANL-GrowthRate,inc death,2,DK,3,1,1,1,0.85,4,1.02,0.52,0.84,-0,1,25,Denmark
RobertWalraven-ESG,inc death,2,DK,3,1,1,1,0.88,5,1.11,0.5,0.92,-0.14,1,26,Denmark
USC-SIkJalpha,inc death,2,DK,4,1,1,2,1.04,4,0.97,0.38,0.5,0.07,1,26,Denmark
epiforecasts-EpiNow2,inc death,2,DK,4,1,1,2,1.17,6,1.3,0.46,0.85,0.21,1,26,Denmark
EuroCOVIDhub-baseline,inc death,3,DK,4,4,0,0,1,5,1,0.92,1,-0.02,1,25,Denmark
EuroCOVIDhub-ensemble,inc death,3,DK,3,2,1,1,0.79,5,0.97,0.56,0.92,0.12,1,25,Denmark
IEM_Health-CovidProject,inc death,3,DK,4,1,1,1,0.85,6,1.19,0.32,0.92,-0.05,1,25,Denmark
ILM-EKF,inc death,3,DK,6,5,0,1,1.5,6,1.11,0.84,1,0.16,1,25,Denmark
LANL-GrowthRate,inc death,3,DK,4,1,2,1,0.83,5,1.08,0.33,0.71,-0,1,24,Denmark
RobertWalraven-ESG,inc death,3,DK,4,1,1,1,0.83,6,1.09,0.6,0.88,-0.16,1,25,Denmark
USC-SIkJalpha,inc death,3,DK,4,1,1,2,0.97,5,0.98,0.28,0.44,0,1,25,Denmark
epiforecasts-EpiNow2,inc death,3,DK,6,2,1,3,1.27,8,1.62,0.36,0.84,0.26,1,25,Denmark
EuroCOVIDhub-baseline,inc death,4,DK,5,4,0,0,1,5,1,1,1,-0.01,1,24,Denmark
EuroCOVIDhub-ensemble,inc death,4,DK,4,2,1,1,0.83,6,1.11,0.58,0.88,0.15,1,24,Denmark
IEM_Health-CovidProject,inc death,4,DK,5,2,2,2,0.94,8,1.43,0.29,0.88,-0.07,1,24,Denmark
ILM-EKF,inc death,4,DK,8,6,0,1,1.68,7,1.17,0.75,1,0.21,1,24,Denmark
LANL-GrowthRate,inc death,4,DK,4,1,2,1,0.82,6,1.15,0.3,0.78,0.01,1,23,Denmark
RobertWalraven-ESG,inc death,4,DK,4,2,2,1,0.78,6,1.2,0.67,0.92,-0.18,1,24,Denmark
UMass-MechBayes,inc death,1,DK,3,1,1,1,1.02,4,0.99,0.42,0.83,0.15,1,24,Denmark
USC-SIkJalpha,inc death,4,DK,5,1,1,2,0.94,6,1.13,0.29,0.5,0.05,1,24,Denmark
epiforecasts-EpiNow2,inc death,4,DK,8,3,1,3,1.58,11,2.02,0.33,0.88,0.33,1,24,Denmark
LANL-GrowthRate,inc death,5,DK,4,1,2,2,NA,6,NA,0.23,0.73,0.12,1,22,Denmark
UMass-MechBayes,inc death,2,DK,3,1,0,1,0.88,5,1.07,0.43,0.87,0.21,1,23,Denmark
USC-SIkJalpha,inc death,5,DK,6,1,2,3,NA,7,NA,0.35,0.43,0.11,1,23,Denmark
LANL-GrowthRate,inc death,6,DK,5,1,2,2,NA,7,NA,0.33,0.71,0.15,1,21,Denmark
UMass-MechBayes,inc death,3,DK,3,1,0,2,0.81,5,1.09,0.36,0.91,0.18,1,22,Denmark
UMass-MechBayes,inc death,4,DK,4,2,1,2,0.94,7,1.39,0.33,0.9,0.21,1,21,Denmark
MUNI-ARIMA,inc death,1,DK,3,1,1,1,1.06,5,1.19,0.37,1,0.03,1,19,Denmark
MUNI-ARIMA,inc death,2,DK,3,2,0,1,0.85,4,1.13,0.67,1,0.02,1,18,Denmark
MUNI-ARIMA,inc death,3,DK,3,2,1,0,0.92,5,1.32,0.62,1,-0.04,1,16,Denmark
MUNI-ARIMA,inc death,4,DK,4,3,1,1,0.83,5,1.19,0.67,1,-0.01,1,15,Denmark
Karlen-pypm,inc death,1,DK,3,1,2,0,1.1,4,1.03,0.33,0.89,-0.42,1,9,Denmark
Karlen-pypm,inc death,2,DK,3,1,2,0,1.03,4,1.09,0.38,0.88,-0.38,1,8,Denmark
Karlen-pypm,inc death,3,DK,5,1,3,0,0.93,6,1.19,0.29,0.71,-0.45,1,7,Denmark
Karlen-pypm,inc death,4,DK,5,1,3,1,0.96,8,1.67,0,0.83,-0.35,1,6,Denmark
EuroCOVIDhub-baseline,inc hosp,1,DK,16,8,7,0,1,19,1,0.67,1,-0.35,1,6,Denmark
EuroCOVIDhub-baseline,inc hosp,2,DK,29,15,14,0,1,43,1,0.4,1,-0.46,1,5,Denmark
EuroCOVIDhub-baseline,inc hosp,3,DK,43,20,23,0,NA,78,NA,0.5,1,-0.6,1,4,Denmark
Karlen-pypm,inc hosp,1,DK,28,6,22,0,1.51,41,1.62,0.25,0.5,-0.77,1,4,Denmark
EuroCOVIDhub-baseline,inc hosp,4,DK,54,24,30,0,NA,103,NA,0,1,-0.6,1,3,Denmark
Karlen-pypm,inc hosp,2,DK,45,7,38,0,1.31,62,1.23,0,0.67,-0.8,1,3,Denmark
EuroCOVIDhub-baseline,inc case,1,EE,375,43,71,260,1,504,1,0.22,0.85,0.1,1,27,Estonia
EuroCOVIDhub-ensemble,inc case,1,EE,238,133,25,81,0.63,343,0.66,0.52,0.96,0.06,1,27,Estonia
IEM_Health-CovidProject,inc case,1,EE,335,118,32,185,0.85,557,1.01,0.41,0.89,0.1,1,27,Estonia
ILM-EKF,inc case,1,EE,483,163,79,242,1.46,773,1.59,0.33,0.89,0.12,1,27,Estonia
LANL-GrowthRate,inc case,1,EE,268,124,102,43,0.76,450,0.88,0.46,0.96,-0.36,1,26,Estonia
USC-SIkJalpha,inc case,1,EE,427,209,121,96,1.06,621,1.1,0.3,0.52,0.11,1,27,Estonia
epiforecasts-EpiNow2,inc case,1,EE,276,104,61,111,0.84,429,0.86,0.37,0.89,-0.08,1,27,Estonia
EuroCOVIDhub-baseline,inc case,2,EE,723,89,100,535,1,993,1,0.19,0.88,0.16,1,26,Estonia
EuroCOVIDhub-ensemble,inc case,2,EE,467,191,50,226,0.62,718,0.67,0.42,0.88,0.06,1,26,Estonia
IEM_Health-CovidProject,inc case,2,EE,704,159,69,476,0.91,1042,0.96,0.31,0.65,0.14,1,26,Estonia
ILM-EKF,inc case,2,EE,957,257,135,566,1.47,1478,1.53,0.19,0.77,0.09,1,26,Estonia
LANL-GrowthRate,inc case,2,EE,511,177,105,228,0.7,814,0.78,0.52,0.88,-0.23,1,25,Estonia
USC-SIkJalpha,inc case,2,EE,588,227,147,214,0.82,780,0.74,0.23,0.46,-0.1,1,26,Estonia
epiforecasts-EpiNow2,inc case,2,EE,581,194,106,281,0.98,849,0.9,0.42,0.81,-0.08,1,26,Estonia
EuroCOVIDhub-baseline,inc case,3,EE,1061,127,117,817,1,1438,1,0.16,0.8,0.24,1,25,Estonia
EuroCOVIDhub-ensemble,inc case,3,EE,779,262,84,433,0.71,1209,0.79,0.32,0.8,0.08,1,25,Estonia
IEM_Health-CovidProject,inc case,3,EE,1202,209,127,866,1.07,1651,1.06,0.32,0.56,0.13,1,25,Estonia
ILM-EKF,inc case,3,EE,1524,385,200,939,1.57,2293,1.61,0.2,0.68,0.06,1,25,Estonia
LANL-GrowthRate,inc case,3,EE,794,244,134,417,0.75,1156,0.76,0.38,0.75,-0.09,1,24,Estonia
USC-SIkJalpha,inc case,3,EE,795,248,199,348,0.86,932,0.67,0.2,0.36,-0.16,1,25,Estonia
epiforecasts-EpiNow2,inc case,3,EE,989,290,170,529,1.23,1487,1.15,0.28,0.76,-0.12,1,25,Estonia
EuroCOVIDhub-baseline,inc case,4,EE,1417,160,148,1109,1,1915,1,0.17,0.79,0.26,1,24,Estonia
EuroCOVIDhub-ensemble,inc case,4,EE,1088,340,111,637,0.75,1597,0.76,0.42,0.71,0.1,1,24,Estonia
IEM_Health-CovidProject,inc case,4,EE,1744,269,205,1271,1.19,2352,1.15,0.17,0.5,0.1,1,24,Estonia
ILM-EKF,inc case,4,EE,2075,551,271,1253,1.6,3078,1.62,0.17,0.71,0,1,24,Estonia
LANL-GrowthRate,inc case,4,EE,1080,285,173,622,0.77,1533,0.75,0.3,0.7,0.03,1,23,Estonia
USC-SIkJalpha,inc case,4,EE,1009,281,263,465,0.86,1100,0.63,0.25,0.25,-0.12,1,24,Estonia
epiforecasts-EpiNow2,inc case,4,EE,1410,389,180,842,1.43,2092,1.3,0.25,0.62,-0.11,1,24,Estonia
LANL-GrowthRate,inc case,5,EE,1380,309,256,814,NA,2033,NA,0.23,0.64,0.13,1,22,Estonia
USC-SIkJalpha,inc case,5,EE,1231,306,355,571,NA,1397,NA,0.26,0.26,-0.13,1,23,Estonia
LANL-GrowthRate,inc case,6,EE,1705,350,358,998,NA,2486,NA,0.05,0.43,0.2,1,21,Estonia
MUNI-ARIMA,inc case,1,EE,120,51,42,27,0.67,198,0.78,0.42,1,-0.07,1,19,Estonia
MUNI-ARIMA,inc case,2,EE,199,99,49,51,0.61,292,0.63,0.67,1,-0.1,1,18,Estonia
RobertWalraven-ESG,inc case,1,EE,169,37,63,69,0.94,534,1.01,0.15,0.7,-0.1,1,27,Estonia
MUNI-ARIMA,inc case,3,EE,302,137,89,76,0.59,489,0.66,0.62,0.94,-0.19,1,16,Estonia
RobertWalraven-ESG,inc case,2,EE,344,46,184,114,1.08,978,0.96,0.08,0.42,-0.24,1,26,Estonia
MUNI-ARIMA,inc case,4,EE,376,177,114,85,0.55,602,0.61,0.53,1,-0.21,1,15,Estonia
RobertWalraven-ESG,inc case,3,EE,545,55,355,136,1.17,1398,0.97,0.04,0.36,-0.24,1,25,Estonia
RobertWalraven-ESG,inc case,4,EE,733,63,526,143,1.2,1718,0.92,0.08,0.33,-0.2,1,24,Estonia
Karlen-pypm,inc case,1,EE,200,136,9,55,0.95,282,0.93,0.56,1,0.18,1,9,Estonia
Karlen-pypm,inc case,2,EE,445,217,13,215,1.07,712,1.21,0.62,1,0.31,1,8,Estonia
Karlen-pypm,inc case,3,EE,956,363,3,589,1.37,1471,1.43,0.43,0.86,0.46,1,7,Estonia
Karlen-pypm,inc case,4,EE,1984,596,1,1386,2.16,2999,2.25,0.33,0.67,0.64,1,6,Estonia
EuroCOVIDhub-baseline,inc death,1,EE,4,1,1,3,1,6,1,0.33,0.89,0.04,1,27,Estonia
EuroCOVIDhub-ensemble,inc death,1,EE,3,2,1,1,0.7,4,0.7,0.67,1,0.1,1,27,Estonia
IEM_Health-CovidProject,inc death,1,EE,4,2,1,2,0.9,6,0.94,0.52,0.81,0.22,1,27,Estonia
ILM-EKF,inc death,1,EE,5,5,0,0,1.21,4,0.68,0.85,1,0.1,1,27,Estonia
LANL-GrowthRate,inc death,1,EE,5,1,2,2,1.19,8,1.33,0.27,0.77,0.1,1,26,Estonia
RobertWalraven-ESG,inc death,1,EE,4,1,1,2,0.92,5,0.93,0.41,0.74,-0.03,1,27,Estonia
USC-SIkJalpha,inc death,1,EE,4,1,1,2,0.93,5,0.84,0.41,0.52,0.16,1,27,Estonia
epiforecasts-EpiNow2,inc death,1,EE,3,2,1,1,0.76,5,0.81,0.6,1,0.14,1,25,Estonia
EuroCOVIDhub-baseline,inc death,2,EE,6,1,1,4,1,9,1,0.42,0.88,0.14,1,26,Estonia
EuroCOVIDhub-ensemble,inc death,2,EE,3,2,0,1,0.59,5,0.6,0.65,0.96,0.16,1,26,Estonia
IEM_Health-CovidProject,inc death,2,EE,5,2,1,2,0.91,8,0.88,0.54,0.81,0.2,1,26,Estonia
ILM-EKF,inc death,2,EE,6,5,0,1,0.94,5,0.51,0.85,1,0.14,1,26,Estonia
LANL-GrowthRate,inc death,2,EE,7,1,3,3,1.24,11,1.24,0.28,0.68,0.08,1,25,Estonia
RobertWalraven-ESG,inc death,2,EE,5,1,1,2,0.81,6,0.72,0.62,0.81,-0.07,1,26,Estonia
USC-SIkJalpha,inc death,2,EE,4,2,0,2,0.69,5,0.54,0.5,0.62,0.25,1,26,Estonia
epiforecasts-EpiNow2,inc death,2,EE,4,2,1,2,0.71,8,0.78,0.46,1,0.15,1,24,Estonia
EuroCOVIDhub-baseline,inc death,3,EE,9,2,1,6,1,12,1,0.4,0.76,0.22,1,25,Estonia
EuroCOVIDhub-ensemble,inc death,3,EE,4,2,0,2,0.51,6,0.51,0.6,0.84,0.21,1,25,Estonia
IEM_Health-CovidProject,inc death,3,EE,8,3,1,4,0.97,12,0.99,0.44,0.76,0.25,1,25,Estonia
ILM-EKF,inc death,3,EE,7,6,0,1,0.75,7,0.48,0.84,1,0.16,1,25,Estonia
LANL-GrowthRate,inc death,3,EE,9,2,3,4,1.07,14,1.1,0.21,0.67,0.04,1,24,Estonia
RobertWalraven-ESG,inc death,3,EE,6,1,2,3,0.67,7,0.58,0.68,0.8,-0.05,1,25,Estonia
USC-SIkJalpha,inc death,3,EE,5,2,0,2,0.55,6,0.48,0.52,0.6,0.3,1,25,Estonia
epiforecasts-EpiNow2,inc death,3,EE,6,2,1,3,0.63,9,0.64,0.61,1,0.14,1,23,Estonia
EuroCOVIDhub-baseline,inc death,4,EE,11,2,1,8,1,15,1,0.42,0.75,0.28,1,24,Estonia
EuroCOVIDhub-ensemble,inc death,4,EE,5,3,0,2,0.48,8,0.5,0.58,0.88,0.26,1,24,Estonia
IEM_Health-CovidProject,inc death,4,EE,11,4,1,6,0.99,17,1.05,0.42,0.83,0.25,1,24,Estonia
ILM-EKF,inc death,4,EE,9,6,0,2,0.75,11,0.57,0.75,0.96,0.17,1,24,Estonia
