model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
itwm-dSEIR,inc death,2,DE,176,68,0,107,0.96,0.95,0.5,1,0.55,1,4,Germany
EuroCOVIDhub-baseline,inc case,1,DK,1398,154,709,535,1,1,0,1,0.12,1,5,Denmark
EuroCOVIDhub-ensemble,inc case,1,DK,1235,249,393,594,0.88,0.86,0.2,0.6,0.06,1,5,Denmark
IEM_Health-CovidProject,inc case,1,DK,1271,335,309,626,0.91,0.78,0.6,0.6,0.18,1,5,Denmark
ILM-EKF,inc case,1,DK,1213,251,359,604,0.87,0.85,0.4,0.8,-0.03,1,5,Denmark
LANL-GrowthRate,inc case,1,DK,969,237,370,362,0.69,0.61,0.6,0.6,-0.2,1,5,Denmark
USC-SIkJalpha,inc case,1,DK,1266,205,453,608,0.91,0.79,0,0,-0.2,1,5,Denmark
epiforecasts-EpiNow2,inc case,1,DK,1548,279,659,610,1.11,1.1,0.2,0.6,0.07,1,5,Denmark
EuroCOVIDhub-baseline,inc case,2,DK,1205,299,431,475,1,1,0.25,1,-0.28,1,4,Denmark
EuroCOVIDhub-ensemble,inc case,2,DK,1363,375,152,836,1.13,1,0.5,0.75,0.05,1,4,Denmark
IEM_Health-CovidProject,inc case,2,DK,1454,428,206,820,1.21,1.04,0.5,0.5,0.21,1,4,Denmark
ILM-EKF,inc case,2,DK,1254,426,124,704,1.04,1,0.5,0.75,0.15,1,4,Denmark
LANL-GrowthRate,inc case,2,DK,749,281,157,312,0.62,0.53,0.5,0.75,0.01,1,4,Denmark
USC-SIkJalpha,inc case,2,DK,620,222,92,306,0.51,0.52,0.5,1,-0.12,1,4,Denmark
epiforecasts-EpiNow2,inc case,2,DK,1829,412,513,903,1.52,1.33,0.25,0.75,-0.15,1,4,Denmark
EuroCOVIDhub-baseline,inc death,1,DK,3,2,0,1,1,1,1,1,0.16,1,5,Denmark
EuroCOVIDhub-ensemble,inc death,1,DK,3,2,0,1,0.95,1,1,1,0.2,1,5,Denmark
IEM_Health-CovidProject,inc death,1,DK,3,1,2,0,1.07,1.25,0.6,1,-0.42,1,5,Denmark
ILM-EKF,inc death,1,DK,5,4,0,1,1.72,0.95,1,1,0.24,1,5,Denmark
LANL-GrowthRate,inc death,1,DK,1,1,0,0,0.36,0.25,1,1,-0,1,5,Denmark
RobertWalraven-ESG,inc death,1,DK,4,2,1,1,1.31,1.65,0.4,1,0.08,1,5,Denmark
USC-SIkJalpha,inc death,1,DK,4,3,0,1,1.19,1.05,0.8,0.8,0.22,1,5,Denmark
epiforecasts-EpiNow2,inc death,1,DK,6,2,0,4,2.02,2.25,0.4,0.6,0.55,1,5,Denmark
EuroCOVIDhub-baseline,inc death,2,DK,4,3,0,1,1,1,1,1,0.05,1,4,Denmark
EuroCOVIDhub-ensemble,inc death,2,DK,3,2,0,1,0.74,0.75,0.75,1,0.2,1,4,Denmark
IEM_Health-CovidProject,inc death,2,DK,4,1,3,0,1.06,1.45,0.25,1,-0.6,1,4,Denmark
ILM-EKF,inc death,2,DK,6,5,0,1,1.42,1.05,1,1,0.22,1,4,Denmark
LANL-GrowthRate,inc death,2,DK,2,1,1,0,0.42,0.45,1,1,-0.05,1,4,Denmark
RobertWalraven-ESG,inc death,2,DK,4,2,1,1,1.05,1.6,0.5,1,0.07,1,4,Denmark
USC-SIkJalpha,inc death,2,DK,4,3,0,1,1.05,1.1,0.5,1,0.25,1,4,Denmark
epiforecasts-EpiNow2,inc death,2,DK,9,2,0,6,2.03,2.5,0.5,0.75,0.61,1,4,Denmark
EuroCOVIDhub-baseline,inc case,1,EE,1035,33,133,869,1,1,0.2,0.4,0.47,1,5,Estonia
EuroCOVIDhub-ensemble,inc case,1,EE,754,404,0,350,0.73,0.79,0.6,1,0.43,1,5,Estonia
IEM_Health-CovidProject,inc case,1,EE,1184,311,0,873,1.14,1.57,0,1,0.82,1,5,Estonia
ILM-EKF,inc case,1,EE,1419,424,0,995,1.37,1.75,0.4,0.8,0.73,1,5,Estonia
LANL-GrowthRate,inc case,1,EE,663,281,150,233,0.64,0.89,0.4,1,0.12,1,5,Estonia
USC-SIkJalpha,inc case,1,EE,1604,907,488,209,1.55,1.8,0.4,1,-0.02,1,5,Estonia
epiforecasts-EpiNow2,inc case,1,EE,693,278,62,353,0.67,0.87,0.4,1,0.26,1,5,Estonia
DSMPG-bayes,inc case,1,EE,961,286,38,638,0.96,1.03,0.25,0.75,0.44,1,4,Estonia
EuroCOVIDhub-baseline,inc case,2,EE,2160,66,133,1960,1,1,0,0.5,0.5,1,4,Estonia
EuroCOVIDhub-ensemble,inc case,2,EE,1931,627,0,1304,0.89,1.19,0,0.75,0.75,1,4,Estonia
IEM_Health-CovidProject,inc case,2,EE,3002,456,0,2546,1.39,1.71,0,0.25,0.98,1,4,Estonia
ILM-EKF,inc case,2,EE,3725,825,0,2900,1.73,2.19,0,0.5,0.88,1,4,Estonia
LANL-GrowthRate,inc case,2,EE,1885,466,3,1416,0.87,1.12,0.25,0.75,0.64,1,4,Estonia
USC-SIkJalpha,inc case,2,EE,2246,943,429,874,1.04,1.24,0,0.75,0.07,1,4,Estonia
epiforecasts-EpiNow2,inc case,2,EE,1565,517,0,1047,0.72,0.9,0.5,1,0.58,1,4,Estonia
EuroCOVIDhub-baseline,inc death,1,EE,7,0,5,1,1,1,0,0.8,-0.52,1,5,Estonia
EuroCOVIDhub-ensemble,inc death,1,EE,7,5,2,1,1.06,1.11,0.8,1,0,1,5,Estonia
IEM_Health-CovidProject,inc death,1,EE,7,5,1,1,1.04,1.09,1,1,-0.04,1,5,Estonia
ILM-EKF,inc death,1,EE,13,12,1,1,1.97,1.11,1,1,0.02,1,5,Estonia
LANL-GrowthRate,inc death,1,EE,11,2,7,2,1.62,1.77,0.2,0.8,-0.28,1,5,Estonia
RobertWalraven-ESG,inc death,1,EE,5,1,3,1,0.79,0.85,0,0.8,0.06,1,5,Estonia
USC-SIkJalpha,inc death,1,EE,9,5,1,3,1.35,1.51,0.6,1,-0.02,1,5,Estonia
epiforecasts-EpiNow2,inc death,1,EE,10,4,2,4,1.42,1.68,0.4,1,0.28,1,5,Estonia
EuroCOVIDhub-baseline,inc death,2,EE,6,1,5,0,1,1,0.25,1,-0.74,1,4,Estonia
EuroCOVIDhub-ensemble,inc death,2,EE,8,6,1,1,1.4,1.32,1,1,0.15,1,4,Estonia
IEM_Health-CovidProject,inc death,2,EE,9,7,0,1,1.54,1.18,1,1,0.12,1,4,Estonia
ILM-EKF,inc death,2,EE,17,15,0,2,3.07,1.85,1,1,0.17,1,4,Estonia
LANL-GrowthRate,inc death,2,EE,17,3,8,5,2.94,2.82,0.25,0.75,0,1,4,Estonia
RobertWalraven-ESG,inc death,2,EE,5,1,3,1,0.96,0.91,0.5,0.75,-0.2,1,4,Estonia
USC-SIkJalpha,inc death,2,EE,9,6,0,2,1.59,1.44,0.75,1,0.1,1,4,Estonia
epiforecasts-EpiNow2,inc death,2,EE,16,5,2,9,2.78,3.15,0,1,0.39,1,4,Estonia
EuroCOVIDhub-baseline,inc case,1,ES,4782,2576,1746,460,1,1,0.75,1,-0.17,1,4,Spain
EuroCOVIDhub-ensemble,inc case,1,ES,4496,2408,1943,145,0.96,1.07,0.75,1,-0.27,1,4,Spain
IEM_Health-CovidProject,inc case,1,ES,8255,2072,6182,0,1.8,2.35,0,1,-0.79,1,4,Spain
ILM-EKF,inc case,1,ES,13104,1012,5504,6589,2.98,2.48,0.5,0.5,-0.1,1,4,Spain
LANL-GrowthRate,inc case,1,ES,7711,3299,4413,0,1.76,2.14,0.5,1,-0.5,1,4,Spain
UNIPV-BayesINGARCHX,inc case,1,ES,14478,1393,435,12650,3.2,3.07,0,0.25,0.6,1,4,Spain
USC-SIkJalpha,inc case,1,ES,7268,3302,3940,26,1.58,1.43,0.5,0.75,-0.45,1,4,Spain
UNED-PreCoV2,inc case,1,ES,8060,6725,1335,0,1.97,1.42,1,1,-0.3,1,4,Spain
EuroCOVIDhub-baseline,inc death,1,ES,582,74,186,321,1,1,0.2,1,0.38,1,5,Spain
EuroCOVIDhub-ensemble,inc death,1,ES,463,99,226,139,0.8,0.78,0.2,0.8,0.33,1,5,Spain
IEM_Health-CovidProject,inc death,1,ES,399,120,197,82,0.61,0.66,0.6,0.8,0.16,1,5,Spain
ILM-EKF,inc death,1,ES,898,153,266,478,1.68,1.4,0.4,0.6,0.32,1,5,Spain
LANL-GrowthRate,inc death,1,ES,396,53,287,57,0.63,0.55,0.4,0.8,0.1,1,5,Spain
RobertWalraven-ESG,inc death,1,ES,369,84,208,77,0.6,0.62,0.4,0.8,0.28,1,5,Spain
USC-SIkJalpha,inc death,1,ES,555,72,278,204,0.96,0.81,0.2,0.6,0.32,1,5,Spain
EuroCOVIDhub-baseline,inc death,2,ES,608,151,105,352,1,1,0.25,1,0.25,1,4,Spain
EuroCOVIDhub-ensemble,inc death,2,ES,597,116,242,239,0.98,0.92,0.25,0.5,0.13,1,4,Spain
IEM_Health-CovidProject,inc death,2,ES,486,133,222,130,0.8,0.72,0.5,0.75,-0.08,1,4,Spain
ILM-EKF,inc death,2,ES,1487,240,304,944,2.45,2.1,0.25,0.5,-0.05,1,4,Spain
LANL-GrowthRate,inc death,2,ES,473,37,357,79,0.78,0.62,0.25,0.75,-0.15,1,4,Spain
RobertWalraven-ESG,inc death,2,ES,370,104,233,33,0.61,0.56,0.5,0.75,-0.08,1,4,Spain
USC-SIkJalpha,inc death,2,ES,526,67,209,251,0.86,0.74,0,0.25,-0.07,1,4,Spain
epiforecasts-EpiNow2,inc death,2,ES,383,131,193,59,0.63,0.62,0.25,1,-0.02,1,4,Spain
UNED-PreCoV2,inc death,1,ES,142,133,0,10,0.32,0.43,1,1,0.2,1,5,Spain
EuroCOVIDhub-baseline,inc case,1,FI,473,37,87,349,1,1,0.2,0.2,0.48,1,5,Finland
EuroCOVIDhub-ensemble,inc case,1,FI,409,203,0,206,0.86,1,0.4,1,0.56,1,5,Finland
IEM_Health-CovidProject,inc case,1,FI,456,211,0,245,0.96,1.21,0.4,1,0.62,1,5,Finland
ILM-EKF,inc case,1,FI,595,247,0,348,1.26,1.46,0.4,1,0.64,1,5,Finland
LANL-GrowthRate,inc case,1,FI,276,159,1,117,0.58,0.65,0.8,1,0.4,1,5,Finland
USC-SIkJalpha,inc case,1,FI,576,354,27,194,1.22,1.17,0.6,0.6,0.44,1,5,Finland
epiforecasts-EpiNow2,inc case,1,FI,422,126,0,296,0.89,1.1,0,0.8,0.79,1,5,Finland
EuroCOVIDhub-baseline,inc case,2,FI,808,68,79,660,1,1,0.25,0.5,0.32,1,4,Finland
EuroCOVIDhub-ensemble,inc case,2,FI,960,312,0,648,1.19,1.45,0.25,0.5,0.74,1,4,Finland
IEM_Health-CovidProject,inc case,2,FI,1017,342,0,675,1.26,1.68,0.25,1,0.75,1,4,Finland
ILM-EKF,inc case,2,FI,1212,430,0,782,1.5,1.86,0.25,0.75,0.73,1,4,Finland
LANL-GrowthRate,inc case,2,FI,679,221,0,458,0.84,1.13,0.25,1,0.74,1,4,Finland
USC-SIkJalpha,inc case,2,FI,1065,403,10,652,1.32,1.1,0.5,0.5,0.5,1,4,Finland
epiforecasts-EpiNow2,inc case,2,FI,1159,233,0,925,1.43,1.74,0,0.25,0.92,1,4,Finland
EuroCOVIDhub-baseline,inc death,1,FI,5,1,2,2,1,1,0.2,1,0.29,1,5,Finland
EuroCOVIDhub-ensemble,inc death,1,FI,4,2,1,1,0.75,0.62,0.6,1,-0,1,5,Finland
IEM_Health-CovidProject,inc death,1,FI,6,3,3,0,1.11,1.3,0.8,1,-0.38,1,5,Finland
ILM-EKF,inc death,1,FI,7,5,1,1,1.34,1.03,0.8,1,0.08,1,5,Finland
LANL-GrowthRate,inc death,1,FI,4,2,1,1,0.71,0.76,0.4,1,0.06,1,5,Finland
RobertWalraven-ESG,inc death,1,FI,5,2,3,0,1.05,0.84,0.6,0.8,-0.28,1,5,Finland
USC-SIkJalpha,inc death,1,FI,5,2,2,1,0.96,1.16,0.2,1,-0.26,1,5,Finland
epiforecasts-EpiNow2,inc death,1,FI,5,3,1,2,0.99,1.11,0.4,1,0.22,1,5,Finland
EuroCOVIDhub-baseline,inc death,2,FI,5,2,2,1,1,1,0,1,-0.1,1,4,Finland
EuroCOVIDhub-ensemble,inc death,2,FI,4,3,1,1,0.85,0.79,1,1,0.03,1,4,Finland
IEM_Health-CovidProject,inc death,2,FI,6,3,2,0,1.16,1.12,0.75,1,-0.32,1,4,Finland
ILM-EKF,inc death,2,FI,7,6,0,1,1.49,0.67,0.75,1,0.12,1,4,Finland
LANL-GrowthRate,inc death,2,FI,5,2,1,2,1.01,1.03,0.25,1,0.08,1,4,Finland
RobertWalraven-ESG,inc death,2,FI,7,2,4,0,1.38,1.18,0.5,0.75,-0.4,1,4,Finland
USC-SIkJalpha,inc death,2,FI,4,2,1,0,0.72,0.73,0.5,1,-0.22,1,4,Finland
epiforecasts-EpiNow2,inc death,2,FI,6,3,0,3,1.29,1.12,0.5,1,0.32,1,4,Finland
EuroCOVIDhub-baseline,inc case,1,FR,23268,2666,14045,6557,1,1,0,1,-0.18,1,5,France
EuroCOVIDhub-ensemble,inc case,1,FR,32131,10485,11015,10630,1.38,1.59,0.2,1,-0.08,1,5,France
IEM_Health-CovidProject,inc case,1,FR,39622,19668,10701,9253,1.7,1.96,0.6,1,-0.08,1,5,France
ILM-EKF,inc case,1,FR,44397,7212,20754,16431,1.91,1.92,0.2,0.6,-0.07,1,5,France
LANL-GrowthRate,inc case,1,FR,40048,19227,13236,7585,1.72,2.08,0.4,1,-0.16,1,5,France
UNIPV-BayesINGARCHX,inc case,1,FR,37716,2516,7274,27926,1.62,1.35,0,0,0.2,1,5,France
USC-SIkJalpha,inc case,1,FR,31029,9315,19403,2311,1.33,1.24,0.4,0.8,-0.3,1,5,France
epiforecasts-EpiExpert,inc case,1,FR,22409,3617,10612,8180,0.96,1.01,0,0.6,-0.17,1,5,France
epiforecasts-EpiNow2,inc case,1,FR,30668,12139,11299,7230,1.32,1.61,0.2,1,-0.14,1,5,France
DSMPG-bayes,inc case,1,FR,52473,8204,10097,34171,1.46,2.15,0,0.5,0.07,1,4,France
EuroCOVIDhub-baseline,inc case,2,FR,39356,5316,26184,7856,1,1,0,1,-0.41,1,4,France
EuroCOVIDhub-ensemble,inc case,2,FR,43727,13316,17648,12764,1.11,1.25,0.25,1,-0.32,1,4,France
IEM_Health-CovidProject,inc case,2,FR,49842,24165,13949,11728,1.27,1.5,0.5,1,-0.23,1,4,France
ILM-EKF,inc case,2,FR,66584,15745,26416,24424,1.69,1.85,0,1,-0.36,1,4,France
LANL-GrowthRate,inc case,2,FR,49019,19734,20879,8406,1.25,1.43,0.25,1,-0.3,1,4,France
UNIPV-BayesINGARCHX,inc case,2,FR,50462,2560,16544,31358,1.28,0.95,0.25,0.25,0.2,1,4,France
USC-SIkJalpha,inc case,2,FR,45301,9231,36059,11,1.15,0.91,0.25,0.25,-0.72,1,4,France
epiforecasts-EpiExpert,inc case,2,FR,46809,6810,18865,21133,1.19,1.08,0.25,0.25,-0.26,1,4,France
epiforecasts-EpiNow2,inc case,2,FR,47988,13907,20668,13412,1.22,1.38,0,1,-0.38,1,4,France
EuroCOVIDhub-baseline,inc death,1,FR,194,57,50,88,1,1,0.4,1,0.1,1,5,France
EuroCOVIDhub-ensemble,inc death,1,FR,239,107,41,90,1.23,1.38,0.2,1,0.24,1,5,France
IEM_Health-CovidProject,inc death,1,FR,281,179,86,16,1.45,1.36,0.8,1,-0.08,1,5,France
ILM-EKF,inc death,1,FR,309,119,64,127,1.59,1.69,0.4,1,0.25,1,5,France
LANL-GrowthRate,inc death,1,FR,178,46,22,110,0.92,0.95,0.2,0.8,0.44,1,5,France
RobertWalraven-ESG,inc death,1,FR,273,62,148,63,1.4,1.39,0.2,0.8,-0.05,1,5,France
USC-SIkJalpha,inc death,1,FR,256,116,66,74,1.32,1.08,0.6,0.6,0.12,1,5,France
epiforecasts-EpiExpert,inc death,1,FR,336,31,83,221,1.73,1.49,0,0.4,-0.1,1,5,France
epiforecasts-EpiNow2,inc death,1,FR,487,164,2,321,2.51,2.34,0.2,0.6,0.72,1,5,France
EuroCOVIDhub-baseline,inc death,2,FR,235,113,51,71,1,1,0.5,1,0.18,1,4,France
EuroCOVIDhub-ensemble,inc death,2,FR,247,123,46,79,1.05,0.99,0.5,1,0.08,1,4,France
IEM_Health-CovidProject,inc death,2,FR,338,214,120,4,1.44,1.35,0.75,1,-0.27,1,4,France
ILM-EKF,inc death,2,FR,384,150,22,212,1.63,1.59,0.75,0.75,0.15,1,4,France
LANL-GrowthRate,inc death,2,FR,186,63,64,59,0.79,0.88,0.25,1,-0.15,1,4,France
RobertWalraven-ESG,inc death,2,FR,363,77,265,21,1.55,1.58,0,0.75,-0.48,1,4,France
USC-SIkJalpha,inc death,2,FR,297,113,52,132,1.26,1.19,0.5,0.75,0.22,1,4,France
epiforecasts-EpiExpert,inc death,2,FR,489,65,77,347,2.08,1.79,0.25,0.75,0.3,1,4,France
epiforecasts-EpiNow2,inc death,2,FR,491,152,0,340,2.09,1.96,0.5,0.5,0.7,1,4,France
EuroCOVIDhub-baseline,inc case,1,GB,5209,2304,9,2895,1,1,0.6,1,0.46,1,5,United Kingdom
EuroCOVIDhub-ensemble,inc case,1,GB,4228,1229,686,2313,0.81,0.94,0.4,0.8,0.12,1,5,United Kingdom
IEM_Health-CovidProject,inc case,1,GB,4938,1520,1160,2258,0.95,1.22,0.2,0.8,-0.02,1,5,United Kingdom
ILM-EKF,inc case,1,GB,5018,1418,1320,2279,0.96,1.16,0.4,0.8,0.06,1,5,United Kingdom
LANL-GrowthRate,inc case,1,GB,4397,834,2098,1464,0.84,1.04,0,0.6,-0.13,1,5,United Kingdom
USC-SIkJalpha,inc case,1,GB,5401,1756,106,3538,1.04,0.98,0.8,0.8,0.18,1,5,United Kingdom
epiforecasts-EpiExpert,inc case,1,GB,6234,936,467,4831,1.2,1.28,0.2,0.6,0.48,1,5,United Kingdom
epiforecasts-EpiNow2,inc case,1,GB,3453,838,1261,1354,0.66,0.72,0.4,0.6,0.22,1,5,United Kingdom
EuroCOVIDhub-baseline,inc case,2,GB,8718,4932,0,3787,1,1,0.75,1,0.45,1,4,United Kingdom
EuroCOVIDhub-ensemble,inc case,2,GB,8338,1854,1762,4722,0.96,1.11,0.25,0.75,0.13,1,4,United Kingdom
IEM_Health-CovidProject,inc case,2,GB,7902,1798,2661,3442,0.91,1.1,0.25,0.75,-0.12,1,4,United Kingdom
ILM-EKF,inc case,2,GB,9686,2582,2902,4202,1.11,1.32,0.5,0.75,0.03,1,4,United Kingdom
LANL-GrowthRate,inc case,2,GB,10315,1196,3878,5241,1.18,1.29,0,0.5,-0.03,1,4,United Kingdom
USC-SIkJalpha,inc case,2,GB,7078,2042,862,4174,0.81,0.94,0.25,0.75,0.24,1,4,United Kingdom
epiforecasts-EpiExpert,inc case,2,GB,10886,1489,489,8909,1.25,1.32,0,0.5,0.52,1,4,United Kingdom
epiforecasts-EpiNow2,inc case,2,GB,8479,2058,2536,3884,0.97,1.04,0.25,0.5,0.2,1,4,United Kingdom
EuroCOVIDhub-baseline,inc death,1,GB,203,78,0,125,1,1,0.6,1,0.46,1,5,United Kingdom
EuroCOVIDhub-ensemble,inc death,1,GB,76,42,0,34,0.37,0.4,0.6,1,0.49,1,5,United Kingdom
IEM_Health-CovidProject,inc death,1,GB,110,88,10,12,0.54,0.41,0.8,1,-0.18,1,5,United Kingdom
ILM-EKF,inc death,1,GB,85,48,0,36,0.42,0.46,0.6,1,0.44,1,5,United Kingdom
LANL-GrowthRate,inc death,1,GB,40,8,9,23,0.19,0.21,0,0.8,0.51,1,5,United Kingdom
RobertWalraven-ESG,inc death,1,GB,85,56,27,2,0.42,0.43,0.8,1,-0.22,1,5,United Kingdom
USC-SIkJalpha,inc death,1,GB,187,46,0,141,0.92,0.91,0.2,0.6,0.7,1,5,United Kingdom
epiforecasts-EpiExpert,inc death,1,GB,100,14,9,77,0.49,0.44,0.2,0.4,0.42,1,5,United Kingdom
epiforecasts-EpiNow2,inc death,1,GB,200,24,0,176,0.99,0.92,0,0.2,0.92,1,5,United Kingdom
EuroCOVIDhub-baseline,inc death,2,GB,346,160,0,186,1,1,0.75,1,0.48,1,4,United Kingdom
EuroCOVIDhub-ensemble,inc death,2,GB,101,46,0,56,0.29,0.3,0.25,1,0.7,1,4,United Kingdom
IEM_Health-CovidProject,inc death,2,GB,122,95,10,17,0.35,0.26,0.75,1,-0.1,1,4,United Kingdom
ILM-EKF,inc death,2,GB,129,50,0,79,0.37,0.39,0,1,0.79,1,4,United Kingdom
LANL-GrowthRate,inc death,2,GB,56,10,1,45,0.16,0.14,0.25,0.75,0.54,1,4,United Kingdom
RobertWalraven-ESG,inc death,2,GB,100,67,33,0,0.29,0.25,0.75,1,-0.32,1,4,United Kingdom
USC-SIkJalpha,inc death,2,GB,251,51,0,199,0.72,0.63,0,0.25,0.9,1,4,United Kingdom
epiforecasts-EpiExpert,inc death,2,GB,142,19,0,123,0.41,0.33,0.25,0.5,0.8,1,4,United Kingdom
epiforecasts-EpiNow2,inc death,2,GB,320,28,0,292,0.92,0.71,0,0,1,1,4,United Kingdom
EuroCOVIDhub-baseline,inc case,1,GR,1054,113,888,54,1,1,0,0.8,-0.52,1,5,Greece
EuroCOVIDhub-ensemble,inc case,1,GR,1329,955,146,228,1.26,1.31,1,1,0.12,1,5,Greece
IEM_Health-CovidProject,inc case,1,GR,1398,1058,133,207,1.33,1.27,1,1,0.08,1,5,Greece
ILM-EKF,inc case,1,GR,1264,736,103,425,1.2,1.42,0.8,1,0.28,1,5,Greece
LANL-GrowthRate,inc case,1,GR,1345,926,349,69,1.28,1.09,0.8,1,0,1,5,Greece
USC-SIkJalpha,inc case,1,GR,2444,1738,592,114,2.32,2.04,0.8,1,-0.06,1,5,Greece
epiforecasts-EpiNow2,inc case,1,GR,1681,777,311,593,1.59,1.99,0.2,1,0.3,1,5,Greece
DSMPG-bayes,inc case,1,GR,2178,740,89,1349,1.45,1.97,0.25,1,0.54,1,4,Greece
EuroCOVIDhub-baseline,inc case,2,GR,1911,247,1664,0,1,1,0,0.75,-0.84,1,4,Greece
EuroCOVIDhub-ensemble,inc case,2,GR,2008,1544,120,344,1.05,0.87,1,1,0.1,1,4,Greece
IEM_Health-CovidProject,inc case,2,GR,2057,1561,37,459,1.08,0.87,0.75,1,0.22,1,4,Greece
ILM-EKF,inc case,2,GR,2326,1398,30,898,1.22,1.12,0.5,1,0.28,1,4,Greece
LANL-GrowthRate,inc case,2,GR,1880,1085,403,392,0.98,1.02,0.5,1,-0.05,1,4,Greece
USC-SIkJalpha,inc case,2,GR,3452,2180,1213,59,1.81,1.5,0.5,0.75,-0.4,1,4,Greece
epiforecasts-EpiNow2,inc case,2,GR,3135,1653,308,1174,1.64,1.77,0.5,1,0.2,1,4,Greece
EuroCOVIDhub-baseline,inc death,1,GR,41,4,38,0,1,1,0,1,-0.89,1,5,Greece
EuroCOVIDhub-ensemble,inc death,1,GR,21,16,4,1,0.5,0.42,0.8,1,-0.16,1,5,Greece
IEM_Health-CovidProject,inc death,1,GR,21,14,3,4,0.5,0.49,0.6,1,0.12,1,5,Greece
ILM-EKF,inc death,1,GR,41,38,3,1,1,0.46,1,1,-0.02,1,5,Greece
LANL-GrowthRate,inc death,1,GR,19,5,11,3,0.46,0.54,0,0.8,-0.24,1,5,Greece
RobertWalraven-ESG,inc death,1,GR,21,4,16,1,0.51,0.51,0.2,0.8,-0.52,1,5,Greece
USC-SIkJalpha,inc death,1,GR,36,27,7,1,0.87,0.85,1,1,-0.2,1,5,Greece
epiforecasts-EpiNow2,inc death,1,GR,13,9,4,0,0.32,0.32,0.8,1,-0.36,1,5,Greece
EuroCOVIDhub-baseline,inc death,2,GR,74,8,66,0,1,1,0,1,-0.9,1,4,Greece
EuroCOVIDhub-ensemble,inc death,2,GR,30,21,6,3,0.41,0.41,1,1,-0.07,1,4,Greece
IEM_Health-CovidProject,inc death,2,GR,41,22,3,16,0.56,0.59,0.5,1,0.25,1,4,Greece
ILM-EKF,inc death,2,GR,50,44,3,3,0.67,0.39,1,1,0,1,4,Greece
LANL-GrowthRate,inc death,2,GR,30,9,18,2,0.4,0.42,0.5,0.75,-0.32,1,4,Greece
RobertWalraven-ESG,inc death,2,GR,43,5,38,0,0.58,0.5,0.25,0.5,-0.77,1,4,Greece
USC-SIkJalpha,inc death,2,GR,50,36,11,3,0.67,0.58,1,1,-0.05,1,4,Greece
epiforecasts-EpiNow2,inc death,2,GR,26,16,6,4,0.35,0.33,0.5,1,-0,1,4,Greece
EuroCOVIDhub-baseline,inc case,1,HR,1399,121,1235,43,1,1,0,1,-0.58,1,5,Croatia
EuroCOVIDhub-ensemble,inc case,1,HR,927,494,152,280,0.66,0.74,0.6,1,-0.18,1,5,Croatia
IEM_Health-CovidProject,inc case,1,HR,1132,588,300,245,0.81,0.94,0.4,1,-0.26,1,5,Croatia
ILM-EKF,inc case,1,HR,1395,395,424,576,1,1.18,0.2,0.8,-0.34,1,5,Croatia
LANL-GrowthRate,inc case,1,HR,947,598,268,82,0.68,0.79,0.8,1,-0.3,1,5,Croatia
USC-SIkJalpha,inc case,1,HR,1513,742,641,130,1.08,1.04,0.4,0.8,-0.44,1,5,Croatia
epiforecasts-EpiNow2,inc case,1,HR,1051,371,10,671,0.75,0.67,0.8,0.8,0.24,1,5,Croatia
DSMPG-bayes,inc case,1,HR,1271,486,2,783,0.82,0.69,0.5,1,0.49,1,4,Croatia
EuroCOVIDhub-baseline,inc case,2,HR,2991,253,2738,0,1,1,0,0.75,-0.93,1,4,Croatia
EuroCOVIDhub-ensemble,inc case,2,HR,1647,805,519,323,0.55,0.65,0.25,1,-0.3,1,4,Croatia
IEM_Health-CovidProject,inc case,2,HR,2174,792,1023,359,0.73,0.86,0.25,0.75,-0.4,1,4,Croatia
ILM-EKF,inc case,2,HR,2001,639,1087,275,0.67,0.82,0,1,-0.45,1,4,Croatia
LANL-GrowthRate,inc case,2,HR,1659,702,873,84,0.55,0.63,0.5,1,-0.48,1,4,Croatia
USC-SIkJalpha,inc case,2,HR,2164,696,1468,0,0.72,0.6,0.25,0.75,-0.65,1,4,Croatia
epiforecasts-EpiNow2,inc case,2,HR,1799,856,40,903,0.6,0.57,0.75,1,0.19,1,4,Croatia
EuroCOVIDhub-baseline,inc death,1,HR,25,3,22,0,1,1,0.2,0.8,-0.62,1,5,Croatia
EuroCOVIDhub-ensemble,inc death,1,HR,10,7,3,0,0.4,0.36,1,1,-0.28,1,5,Croatia
IEM_Health-CovidProject,inc death,1,HR,18,7,10,0,0.7,0.93,0.2,1,-0.64,1,5,Croatia
ILM-EKF,inc death,1,HR,19,17,1,0,0.74,0.41,1,1,-0.08,1,5,Croatia
LANL-GrowthRate,inc death,1,HR,14,4,9,0,0.54,0.6,0.4,1,-0.51,1,5,Croatia
RobertWalraven-ESG,inc death,1,HR,24,2,22,0,0.97,0.89,0.2,0.2,-0.82,1,5,Croatia
USC-SIkJalpha,inc death,1,HR,20,8,12,0,0.77,0.6,0.6,0.8,-0.38,1,5,Croatia
epiforecasts-EpiNow2,inc death,1,HR,12,7,0,4,0.46,0.54,0.4,1,0.4,1,5,Croatia
EuroCOVIDhub-baseline,inc death,2,HR,42,6,36,0,1,1,0.25,0.75,-0.75,1,4,Croatia
EuroCOVIDhub-ensemble,inc death,2,HR,17,9,8,0,0.4,0.49,0.75,1,-0.48,1,4,Croatia
