model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
BIOCOMSC-Gompertz,inc case,2,HR,879.421875,879.421875,0,0,0.275,NA,NA,0.7110391354322688,NA,1,1,1133.625,8,10
MUNI-ARIMA,inc case,1,HR,295.2664130434783,157.33163043478262,4.733695652173913,133.20108695652175,0.18,0.19999999999999998,447,0.5051686158012613,NA,0.875,1,447,8,9
epiforecasts-EpiExpert_Rt,inc case,3,HR,4639.3716375,681.8395722826087,0,3957.5320652173914,-0.49391304347826087,0.975,6414.125,1.0505023087303276,NA,0,0.25,6414.125,4,0
MUNI-ARIMA,inc case,2,HR,660.9495031055901,334.55198757763975,17.28571428571429,309.111801242236,0.09925465838509318,0.12857142857142856,1097.4285714285713,0.6798153329715495,NA,0.7142857142857143,1,1097.4285714285713,7,9
epiforecasts-EpiExpert_Rt,inc case,4,HR,5281.320901086957,822.2177489130435,0,4459.103152173913,-0.49391304347826087,0.975,7287.75,0.9409081460117346,NA,0,0.25,7287.75,4,0
MUNI-ARIMA,inc case,3,HR,727.2222608695653,393.0831304347826,52.93043478260869,281.2086956521739,0.10173913043478261,0.040000000000000015,1184,0.6913496506545433,NA,0.8,1,1184,5,8
MUNI-ARIMA,inc case,4,HR,882.2647826086957,499.55826086956523,60.59782608695652,322.1086956521739,0.11478260869565218,0.024999999999999994,1316.25,0.73146771783846,NA,0.75,1,1316.25,4,8
EuroCOVIDhub-ensemble,inc death,1,HR,10.069565217391304,7.3875,0.7961956521739131,1.8858695652173914,0.20445652173913043,0.06874999999999998,12.5625,0.8138592923440368,NA,0.9375,1,12.5625,16,17
IEM_Health-CovidProject,inc death,1,HR,16.17179365466204,6.525966943827745,3.1963695510658194,6.449457159768473,6.521739130434816e-4,0.020624999999999984,25.980877937426442,1.2775197846362893,NA,0.4375,0.9375,25.980877937426442,16,17
ILM-EKF,inc death,1,HR,20.43905504034737,19.10905526322942,0.32880434782608703,1.0011954292918626,0.3267391304347826,0.056249999999999974,16.08999487371284,1.7042625994432563,NA,1,1,16.08999487371284,16,17
LANL-GrowthRate,inc death,1,HR,9.517336180124225,3.52665295031056,5.546583850931677,0.4440993788819876,-0.05602484472049689,-0.4107142857142857,14.5,0.6522002794887429,NA,0.35714285714285715,1,14.5,14,1
RobertWalraven-ESG,inc death,1,HR,15.917264402173913,3.6219383152173914,7.0796467391304345,5.215679347826087,-0.1515217391304348,-0.001250000000000008,22.70625,1.1848028363278647,NA,0.375,0.625,22.70625,16,17
USC-SIkJalpha,inc death,1,HR,18.027290760869565,6.39739945652174,3.6885869565217395,7.941304347826087,-0.08902173913043478,0.21875,20.1875,1.3879561461826837,NA,0.5625,0.625,20.1875,16,17
epiforecasts-EpiExpert,inc death,1,HR,8.868554604423645,6.097874940800571,0.9141927894141774,1.8564868742088974,0.1191304347826087,-0.019999999999999973,11.856,0.7504979470324539,NA,0.6,1,11.856,5,0
epiforecasts-EpiNow2,inc death,1,HR,9.73403097826087,5.955226630434782,1.2059782608695653,2.572826086956522,0.07673913043478262,0.06874999999999998,16.0625,0.7803497649759408,NA,0.5625,1,16.0625,16,17
EuroCOVIDhub-ensemble,inc death,2,HR,17.604869565217392,10.039652173913044,1.8202898550724638,5.744927536231884,0.07855072463768116,0.18,28,0.8194301915148734,NA,0.6666666666666666,1,28,15,17
IEM_Health-CovidProject,inc death,2,HR,38.23315526471228,10.076724569341815,8.55810445587481,19.598326239495652,-0.15333333333333332,0.1033333333333333,57.10846400721036,1.7534591081020094,NA,0.26666666666666666,0.6666666666666666,57.10846400721036,15,17
ILM-EKF,inc death,2,HR,26.68790813445759,22.1752362240737,0.370642924876643,4.142028985507246,0.2118840579710145,0.12666666666666668,32.77741823927661,1.2770558074017508,NA,1,1,32.77741823927661,15,17
Imperial-DeCa,inc death,1,HR,8.746088405797101,2.633769565217391,4.141304347826087,1.9710144927536233,-0.12434782608695652,-0.1608333333333333,13.75,0.765123702167583,NA,0.4166666666666667,0.8333333333333334,13.75,12,4
Imperial-RtI0,inc death,1,HR,12.700664130434788,6.896497463768121,0.9710144927536232,4.833152173913044,0.08579710144927537,0.08166666666666667,18.833333333333332,1.0590027567984102,NA,0.6666666666666666,0.9166666666666666,18.833333333333332,12,4
Imperial-sbkp,inc death,1,HR,15.167090760869572,4.694337137681163,1.0217391304347827,9.451014492753625,0.016956521739130436,0.11249999999999999,21.25,1.188822516984147,NA,0.5833333333333334,0.9166666666666666,21.25,12,4
