model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,PT,1,0.09587170860608235
ILM-EKF,inc case,PT,1,0.14624497922961716
LANL-GrowthRate,inc case,PT,1,0.15407953168834662
USC-SIkJalpha,inc case,PT,1,0.11504605032729882
epiforecasts-EpiExpert,inc case,PT,1,0.31957236202027445
epiforecasts-EpiNow2,inc case,PT,1,0.16918536812838061
IEM_Health-CovidProject,inc death,PT,1,0.10764757009646646
ILM-EKF,inc death,PT,1,0.09541489167641347
LANL-GrowthRate,inc death,PT,1,0.1311954760550685
RobertWalraven-ESG,inc death,PT,1,0.11048040088847876
USC-SIkJalpha,inc death,PT,1,0.1311954760550685
epiforecasts-EpiExpert,inc death,PT,1,0.19082978335282694
epiforecasts-EpiNow2,inc death,PT,1,0.23323640187567735
IEM_Health-CovidProject,inc case,RO,1,0.1700391461990257
ILM-EKF,inc case,RO,1,0.16464107806572326
LANL-GrowthRate,inc case,RO,1,0.18522121282393866
USC-SIkJalpha,inc case,RO,1,0.10918303071726912
epiforecasts-EpiExpert,inc case,RO,1,0.1920812577433438
epiforecasts-EpiNow2,inc case,RO,1,0.17883427445069944
IEM_Health-CovidProject,inc death,RO,1,0.106053470545
ILM-EKF,inc death,RO,1,0.11640015059817073
LANL-GrowthRate,inc death,RO,1,0.22197238021046511
RobertWalraven-ESG,inc death,RO,1,0.09090297475285714
USC-SIkJalpha,inc death,RO,1,0.09266808105873786
epiforecasts-EpiExpert,inc death,RO,1,0.12726416465399998
epiforecasts-EpiNow2,inc death,RO,1,0.2447387781807692
IEM_Health-CovidProject,inc case,SE,1,0.15059388389255915
ILM-EKF,inc case,SE,1,0.25327153200112223
LANL-GrowthRate,inc case,SE,1,0.10039592259503942
USC-SIkJalpha,inc case,SE,1,0.10613283245761311
epiforecasts-EpiExpert,inc case,SE,1,0.3183984973728393
epiforecasts-EpiNow2,inc case,SE,1,0.07120733168082669
IEM_Health-CovidProject,inc death,SE,1,0.12109760765082345
ILM-EKF,inc death,SE,1,0.13488107518831555
LANL-GrowthRate,inc death,SE,1,0.10703465966556652
RobertWalraven-ESG,inc death,SE,1,0.19069393388692887
USC-SIkJalpha,inc death,SE,1,0.1481283236443108
epiforecasts-EpiExpert,inc death,SE,1,0.22726537326250426
epiforecasts-EpiNow2,inc death,SE,1,0.07089902670155049
IEM_Health-CovidProject,inc case,SI,1,0.130989893696588
ILM-EKF,inc case,SI,1,0.17314756063342088
LANL-GrowthRate,inc case,SI,1,0.1075988412507687
USC-SIkJalpha,inc case,SI,1,0.16373736712073497
epiforecasts-EpiExpert,inc case,SI,1,0.1506383777510762
epiforecasts-EpiNow2,inc case,SI,1,0.27388795954741124
IEM_Health-CovidProject,inc death,SI,1,0.1258275699159649
ILM-EKF,inc death,SI,1,0.08363832588531785
LANL-GrowthRate,inc death,SI,1,0.18228865898082092
RobertWalraven-ESG,inc death,SI,1,0.14077738020301023
USC-SIkJalpha,inc death,SI,1,0.1653315744244655
epiforecasts-EpiExpert,inc death,SI,1,0.20606544058701498
epiforecasts-EpiNow2,inc death,SI,1,0.09607105000340563
IEM_Health-CovidProject,inc case,SK,1,0.13473071279515897
