weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,compare_against,mean_scores_ratio,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,EuroCOVIDhub-median,1.28,0.29,0.64,-0.09,1292,32,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.16,0.29,0.64,-0.09,1292,32,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,0.94,0.29,0.64,-0.09,1292,32,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,EuroCOVIDhub-mean,0.9,0.29,0.64,-0.09,1292,32,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,EuroCOVIDhub-baseline,1,0.29,0.64,-0.09,1292,32,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,1.33,1.11,EuroCOVIDhub-baseline,1.12,0.32,0.71,0.01,1179,32,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,1.33,1.11,EuroCOVIDhub-median,1.43,0.32,0.71,0.01,1179,32,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,1.33,1.11,EuroCOVIDhub-All_relative_skill_weighted_median,1.27,0.32,0.71,0.01,1179,32,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,1.33,1.11,EuroCOVIDhub-All_relative_skill_weighted_mean,1.03,0.32,0.71,0.01,1179,32,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,1.33,1.11,EuroCOVIDhub-mean,1,0.32,0.71,0.01,1179,32,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.93,0.78,EuroCOVIDhub-baseline,0.78,0.29,0.69,-0.15,1179,32,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.93,0.78,EuroCOVIDhub-All_relative_skill_weighted_median,0.9,0.29,0.69,-0.15,1179,32,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.93,0.78,EuroCOVIDhub-All_relative_skill_weighted_mean,0.73,0.29,0.69,-0.15,1179,32,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.93,0.78,EuroCOVIDhub-mean,0.7,0.29,0.69,-0.15,1179,32,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.93,0.78,EuroCOVIDhub-median,1,0.29,0.69,-0.15,1179,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.89,0.84,EuroCOVIDhub-baseline,0.83,0.52,0.91,0.15,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.89,0.84,EuroCOVIDhub-mean,1.01,0.52,0.91,0.15,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.89,0.84,EuroCOVIDhub-All_relative_skill_weighted_median,1.23,0.52,0.91,0.15,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.89,0.84,EuroCOVIDhub-median,1.34,0.52,0.91,0.15,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.89,0.84,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.52,0.91,0.15,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.75,0.68,EuroCOVIDhub-baseline,0.68,0.5,0.92,0.06,1092,30,NA
