weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc death,3,BE,1,1,1,1,0.01,9,1,Belgium
10,EuroCOVIDhub-mean,inc death,3,BE,0.65,0.5,0.67,1,0.09,9,1,Belgium
10,EuroCOVIDhub-median,inc death,3,BE,0.63,0.49,0.67,1,0.03,9,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,4,BE,0.72,0.55,0.5,1,0.5,4,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,4,BE,0.7,0.5,0.5,1,0.48,4,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,BE,0.72,0.55,0.5,1,0.5,4,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,BE,0.7,0.5,0.5,1,0.48,4,1,Belgium
10,EuroCOVIDhub-baseline,inc death,4,BE,1,1,1,1,-0.02,8,1,Belgium
10,EuroCOVIDhub-mean,inc death,4,BE,0.78,0.48,0.62,1,0.1,8,1,Belgium
10,EuroCOVIDhub-median,inc death,4,BE,0.69,0.47,0.62,1,0,8,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,2,BG,0.42,0.45,0.67,1,0.48,6,1,Bulgaria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,2,BG,0.32,0.38,0.67,1,0.43,6,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,BG,0.42,0.45,0.67,1,0.48,6,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,BG,0.32,0.38,0.67,1,0.43,6,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,2,BG,1,1,0.1,0.5,0.45,10,1,Bulgaria
10,EuroCOVIDhub-mean,inc case,2,BG,0.79,0.46,0.6,1,0.4,10,1,Bulgaria
10,EuroCOVIDhub-median,inc case,2,BG,0.68,0.43,0.5,1,0.43,10,1,Bulgaria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,1,BG,0.42,0.48,1,1,0.3,7,1,Bulgaria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,1,BG,0.43,0.46,0.57,1,0.37,7,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,BG,0.42,0.48,1,1,0.3,7,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,BG,0.43,0.46,0.57,1,0.37,7,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,1,BG,1,1,0,0.9,0.5,10,1,Bulgaria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,1,BG,0.25,0.59,1,1,0.2,4,1,Bulgaria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,1,BG,0.25,0.59,1,1,0.17,4,1,Bulgaria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,1,BG,0.25,0.59,1,1,0.2,4,1,Bulgaria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,1,BG,0.25,0.59,1,1,0.17,4,1,Bulgaria
10,EuroCOVIDhub-cutoff_mean,inc case,1,BG,0.27,0.6,1,1,0.28,4,1,Bulgaria
10,EuroCOVIDhub-cutoff_median,inc case,1,BG,0.27,0.6,1,1,0.28,4,1,Bulgaria
10,EuroCOVIDhub-mean,inc case,1,BG,0.57,0.46,0.9,1,0.25,10,1,Bulgaria
10,EuroCOVIDhub-median,inc case,1,BG,0.64,0.43,0.7,1,0.31,10,1,Bulgaria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,3,BG,0.48,0.5,0.2,1,0.66,5,1,Bulgaria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,3,BG,0.36,0.41,0.6,1,0.58,5,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,BG,0.48,0.5,0.2,1,0.66,5,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,BG,0.36,0.41,0.6,1,0.58,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,3,BG,1,1,0,0.44,0.52,9,1,Bulgaria
10,EuroCOVIDhub-mean,inc case,3,BG,1,0.51,0.22,1,0.58,9,1,Bulgaria
10,EuroCOVIDhub-median,inc case,3,BG,0.95,0.47,0.33,1,0.57,9,1,Bulgaria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,4,BG,0.59,0.6,0,1,0.75,4,1,Bulgaria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,4,BG,0.47,0.51,0.25,1,0.65,4,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BG,0.59,0.6,0,1,0.75,4,1,Bulgaria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BG,0.47,0.51,0.25,1,0.65,4,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,4,BG,1,1,0.12,0.25,0.56,8,1,Bulgaria
10,EuroCOVIDhub-mean,inc case,4,BG,1.34,0.6,0.25,1,0.7,8,1,Bulgaria
10,EuroCOVIDhub-median,inc case,4,BG,1.39,0.55,0.25,1,0.6,8,1,Bulgaria
