scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NO,quantile,0.25,1302.6106
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NO,quantile,0.5,1655.8319
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NO,quantile,0.75,3427.745
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NO,quantile,0.975,8103.891
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PL,point,NA, 804.12683
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PL,quantile,0.025,791.2978
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PL,quantile,0.25,1263.2097
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PL,quantile,0.5,804.12683
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PL,quantile,0.75,1702.8992
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PL,quantile,0.975,1089.7443
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PT,point,NA, 15541.768
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PT,quantile,0.025,18795.967
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PT,quantile,0.25,17182.88
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PT,quantile,0.5,15541.768
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PT,quantile,0.75,17524.666
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,PT,quantile,0.975,16878.1
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,RO,point,NA, 4737.048
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,RO,quantile,0.025,0
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,RO,quantile,0.25,1398.2959
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,RO,quantile,0.5,4737.048
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,RO,quantile,0.75,3986.5679
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,RO,quantile,0.975,7509.36
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SK,point,NA, 421.83423
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SK,quantile,0.025,390.86124
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SK,quantile,0.25,420.43097
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SK,quantile,0.5,421.83423
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SK,quantile,0.75,351.1315
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SK,quantile,0.975,765.97
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SI,point,NA, 122.83594
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SI,quantile,0.025,285.63492
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SI,quantile,0.25,935.0458
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SI,quantile,0.5,122.83594
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SI,quantile,0.75,1760.0027
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SI,quantile,0.975,6499.912
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,ES,point,NA, 192874.2
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,ES,quantile,0.025,215549.92
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,ES,quantile,0.25,148007.47
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,ES,quantile,0.5,192874.2
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,ES,quantile,0.75,0
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,ES,quantile,0.975,88867.51
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SE,point,NA, 5566.1943
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SE,quantile,0.025,2964.9004
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SE,quantile,0.25,0
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SE,quantile,0.5,5566.1943
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SE,quantile,0.75,8897.451
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,SE,quantile,0.975,6227.5005
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,CH,point,NA, 10727.848
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,CH,quantile,0.025,0
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,CH,quantile,0.25,7287.996
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,CH,quantile,0.5,10727.848
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,CH,quantile,0.75,18197.04
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,CH,quantile,0.975,34600.14
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GB,point,NA, 210093.6
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GB,quantile,0.025,209097.02
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GB,quantile,0.25,178948.64
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GB,quantile,0.5,210093.6
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GB,quantile,0.75,247809.16
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GB,quantile,0.975,241241.84
