model,target_variable,location,horizon,weight
MUNI-ARIMA,inc death,BE,3,0.1211594972975099
RobertWalraven-ESG,inc death,BE,3,0.10717955530164337
UMass-MechBayes,inc death,BE,3,0.1393334218921364
USC-SIkJalpha,inc death,BE,3,0.08846566469341993
epiforecasts-EpiNow2,inc death,BE,3,0.07054856804665133
IEM_Health-CovidProject,inc death,BE,4,0.07455793268992897
ILM-EKF,inc death,BE,4,0.07657301195181894
Karlen-pypm,inc death,BE,4,0.11110593891048237
LANL-GrowthRate,inc death,BE,4,0.08994290292753335
MUNI-ARIMA,inc death,BE,4,0.15314602390363788
RobertWalraven-ESG,inc death,BE,4,0.12056176349860855
UMass-MechBayes,inc death,BE,4,0.22665611537738406
USC-SIkJalpha,inc death,BE,4,0.08717542899130155
epiforecasts-EpiNow2,inc death,BE,4,0.06028088174930427
IEM_Health-CovidProject,inc case,BG,1,0.07236774934814881
ILM-EKF,inc case,BG,1,0.09045968668518602
Karlen-pypm,inc case,BG,1,0.10912597123927201
LANL-GrowthRate,inc case,BG,1,0.10261098788170353
MUNI-ARIMA,inc case,BG,1,0.27499744752296545
RobertWalraven-ESG,inc case,BG,1,0.1598822369319567
USC-SIkJalpha,inc case,BG,1,0.06084014325729325
epiforecasts-EpiNow2,inc case,BG,1,0.12971577713347426
IEM_Health-CovidProject,inc case,BG,2,0.06482486456789317
ILM-EKF,inc case,BG,2,0.07513791120369437
Karlen-pypm,inc case,BG,2,0.0806358071454281
LANL-GrowthRate,inc case,BG,2,0.12964972913578635
MUNI-ARIMA,inc case,BG,2,0.33060680929625524
RobertWalraven-ESG,inc case,BG,2,0.14693635968722454
USC-SIkJalpha,inc case,BG,2,0.08163131093734696
epiforecasts-EpiNow2,inc case,BG,2,0.09057720802637129
IEM_Health-CovidProject,inc case,BG,3,0.06033809510933246
ILM-EKF,inc case,BG,3,0.066160192005847
Karlen-pypm,inc case,BG,3,0.08570752146211998
LANL-GrowthRate,inc case,BG,3,0.1300389980804579
MUNI-ARIMA,inc case,BG,3,0.3279244299420242
RobertWalraven-ESG,inc case,BG,3,0.15392371201360322
USC-SIkJalpha,inc case,BG,3,0.10475363734259108
epiforecasts-EpiNow2,inc case,BG,3,0.07115341404402412
IEM_Health-CovidProject,inc case,BG,4,0.04928157279103376
ILM-EKF,inc case,BG,4,0.048041784796290773
Karlen-pypm,inc case,BG,4,0.16605747353500508
LANL-GrowthRate,inc case,BG,4,0.10609227475847546
MUNI-ARIMA,inc case,BG,4,0.3182768242754264
RobertWalraven-ESG,inc case,BG,4,0.1497773290707889
USC-SIkJalpha,inc case,BG,4,0.10184858376813645
epiforecasts-EpiNow2,inc case,BG,4,0.060624157004843124
IEM_Health-CovidProject,inc death,BG,1,0.05745167520381953
ILM-EKF,inc death,BG,1,0.07881191342062423
Karlen-pypm,inc death,BG,1,0.34151829148937163
LANL-GrowthRate,inc death,BG,1,0.054401143777068055
MUNI-ARIMA,inc death,BG,1,0.1307942392938019
RobertWalraven-ESG,inc death,BG,1,0.07496742983913036
UMass-MechBayes,inc death,BG,1,0.13363759232192804
USC-SIkJalpha,inc death,BG,1,0.06755306864624933
epiforecasts-EpiNow2,inc death,BG,1,0.06086464600800683
IEM_Health-CovidProject,inc death,BG,2,0.053850828089954186
ILM-EKF,inc death,BG,2,0.07026876348323291
Karlen-pypm,inc death,BG,2,0.30326518976974204
LANL-GrowthRate,inc death,BG,2,0.04573046512400871
MUNI-ARIMA,inc death,BG,2,0.13719139537202615
RobertWalraven-ESG,inc death,BG,2,0.08473586184742792
UMass-MechBayes,inc death,BG,2,0.16947172369485583
USC-SIkJalpha,inc death,BG,2,0.07786538656250133
epiforecasts-EpiNow2,inc death,BG,2,0.057620386056250986
IEM_Health-CovidProject,inc death,BG,3,0.045553371031640234
ILM-EKF,inc death,BG,3,0.06318693401163
Karlen-pypm,inc death,BG,3,0.2554949940470257
LANL-GrowthRate,inc death,BG,3,0.054919484701697115
MUNI-ARIMA,inc death,BG,3,0.14690962157703977
RobertWalraven-ESG,inc death,BG,3,0.10684336114693802
UMass-MechBayes,inc death,BG,3,0.17283484891416442
USC-SIkJalpha,inc death,BG,3,0.10131698039795847
epiforecasts-EpiNow2,inc death,BG,3,0.05294040417190622
IEM_Health-CovidProject,inc death,BG,4,0.042599724640486586
ILM-EKF,inc death,BG,4,0.04993246412778345
Karlen-pypm,inc death,BG,4,0.2768982101631628
LANL-GrowthRate,inc death,BG,4,0.0700202370527538
MUNI-ARIMA,inc death,BG,4,0.16030949009446266
RobertWalraven-ESG,inc death,BG,4,0.10325018006084036
UMass-MechBayes,inc death,BG,4,0.17405030353113088
USC-SIkJalpha,inc death,BG,4,0.07911377433233222
epiforecasts-EpiNow2,inc death,BG,4,0.043825615997047346
IEM_Health-CovidProject,inc case,CH,1,0.15348125791876122
ILM-EKF,inc case,CH,1,0.16663679431179787
Karlen-pypm,inc case,CH,1,0.04984861368301646
LANL-GrowthRate,inc case,CH,1,0.12678886523723754
MUNI-ARIMA,inc case,CH,1,0.08331839715589894
RobertWalraven-ESG,inc case,CH,1,0.15348125791876122
USC-SIkJalpha,inc case,CH,1,0.16352208787606334
epiforecasts-EpiNow2,inc case,CH,1,0.1029227258984634
