model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,2,AT,0.64,0.78,0.6,0.9,-0.06,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc case,2,AT,0.56,0.72,0.62,1,0.09,8,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc case,2,AT,0.55,0.74,0.75,0.88,0,8,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,2,AT,0.57,0.68,0.7,0.9,-0.09,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,2,AT,0.53,0.73,0.6,0.9,-0.16,10,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.51,0.66,0.6,0.9,0.03,10,1,Austria
EuroCOVIDhub-mean,inc case,2,AT,0.62,0.76,0.7,1,0.12,10,1,Austria
EuroCOVIDhub-median,inc case,2,AT,0.55,0.68,0.6,0.9,-0.06,10,1,Austria
IEM_Health-CovidProject,inc case,2,AT,0.71,0.84,0.4,0.7,0.13,10,1,Austria
ILM-EKF,inc case,2,AT,0.96,1.09,0.5,0.8,0.17,10,1,Austria
Karlen-pypm,inc case,2,AT,1.32,1.46,0.4,0.8,0.37,10,1,Austria
LANL-GrowthRate,inc case,2,AT,0.72,0.79,0.5,0.8,-0.16,10,1,Austria
MUNI-ARIMA,inc case,2,AT,0.56,0.69,0.6,1,-0.02,10,1,Austria
RobertWalraven-ESG,inc case,2,AT,0.87,1.1,0,0.2,-0.77,10,1,Austria
USC-SIkJalpha,inc case,2,AT,0.71,0.95,0.1,0.5,-0.26,10,1,Austria
UVA-Ensemble,inc case,2,AT,1.27,NA,0.3,0.9,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,2,AT,2.19,2.51,0.4,0.9,0.12,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,1,AT,0.57,0.58,0.8,1,0.07,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,1,AT,0.52,0.58,0.7,0.9,0.1,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,1,AT,0.57,0.59,0.8,1,0.07,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,1,AT,0.53,0.59,0.7,0.9,0.1,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,1,AT,0.56,0.57,0.8,1,0.07,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,1,AT,0.52,0.57,0.7,0.9,0.09,10,1,Austria
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.3,1,-0.5,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,1,AT,0.57,0.59,0.7,1,0.1,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,1,AT,0.52,0.56,0.7,0.9,0.12,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc case,1,AT,0.44,0.52,0.88,1,0.26,8,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc case,1,AT,0.44,0.52,0.75,1,0.28,8,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,1,AT,0.47,0.48,0.7,1,-0.06,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,1,AT,0.41,0.45,0.9,0.9,-0.01,10,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.59,0.63,0.7,0.9,0.13,10,1,Austria
EuroCOVIDhub-mean,inc case,1,AT,0.57,0.61,0.8,1,0.1,10,1,Austria
EuroCOVIDhub-median,inc case,1,AT,0.58,0.63,0.7,0.9,0.12,10,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.64,0.7,0.6,0.8,0.17,10,1,Austria
ILM-EKF,inc case,1,AT,0.97,1.07,0.6,0.9,0.2,10,1,Austria
Karlen-pypm,inc case,1,AT,1.16,1.23,0.5,1,0.4,10,1,Austria
LANL-GrowthRate,inc case,1,AT,0.46,0.57,0.5,0.9,-0.1,10,1,Austria
MUNI-ARIMA,inc case,1,AT,0.44,0.48,0.7,1,0.19,10,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.82,0.92,0.3,0.7,-0.56,10,1,Austria
SDSC_ISG-TrendModel,inc case,1,AT,0.55,NA,NA,NA,NA,10,1,Austria
USC-SIkJalpha,inc case,1,AT,0.59,0.73,0.4,0.8,-0.13,10,1,Austria
UVA-Ensemble,inc case,1,AT,1.47,NA,0.4,1,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,1.18,1.23,0.4,0.9,0.03,10,1,Austria
LANL-GrowthRate,inc case,5,AT,NA,NA,0.1,0.3,-0.87,10,1,Austria
USC-SIkJalpha,inc case,5,AT,NA,NA,0,0,-0.4,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc death,4,AT,0.84,0.84,0.4,0.9,0.11,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc death,4,AT,0.72,0.59,0.5,0.9,-0.06,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc death,4,AT,0.94,0.88,0.4,0.9,0.07,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc death,4,AT,0.87,0.65,0.5,0.9,-0.11,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc death,4,AT,0.94,0.79,0.5,0.9,0.07,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc death,4,AT,0.69,0.6,0.5,0.9,-0.1,10,1,Austria
EuroCOVIDhub-baseline,inc death,4,AT,1,1,0.9,1,-0.14,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc death,4,AT,0.92,0.86,0.4,0.9,0.07,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc death,4,AT,0.73,0.6,0.5,0.9,-0.07,10,1,Austria
