location_name,location,indicator,date,value,source,type
Austria,AT,Daily hospital occupancy,2021-01-09,1957,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-10,1874,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-11,1918,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-12,1923,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-13,1825,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-14,1725,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-15,1705,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-16,1668,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-17,1635,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-18,1673,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-19,1729,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-20,1683,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-21,1606,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-22,1586,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-23,1525,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-24,1518,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-25,1548,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-26,1583,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-27,1526,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-28,1478,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-29,1428,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-30,1385,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-31,1387,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-01,1433,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-02,1429,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-03,1383,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-04,1342,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-05,1304,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-06,1289,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-07,1275,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-08,1299,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-09,1318,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-10,1262,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-11,1212,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-12,1151,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-13,1062,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-14,1056,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-15,1104,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-16,1089,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-17,1069,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-18,1027,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-19,1030,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-20,999,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-21,1018,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-22,1085,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-23,1077,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-24,1064,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-25,1041,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-26,1018,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-27,988,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-02-28,1022,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-01,1073,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-02,1124,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-03,1097,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-04,1142,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-05,1114,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-06,1138,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-07,1155,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-08,1226,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-09,1287,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-10,1273,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-11,1242,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-12,1269,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-13,1285,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-14,1322,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-15,1406,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-16,1438,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-17,1449,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-18,1451,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-19,1462,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-20,1438,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-21,1495,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-22,1573,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-23,1614,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-24,1635,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-25,1641,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-26,1693,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-27,1651,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-28,1636,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-29,1710,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-30,1770,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-03-31,1787,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-01,1765,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-02,1753,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-03,1655,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-04,1671,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-05,1771,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-06,1854,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-07,1877,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-08,1807,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-09,1802,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-10,1734,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-11,1705,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-12,1799,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-13,1752,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-14,1687,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-15,1586,Public,ECDC
