location_name,location,target_variable,date,value,source,snapshot_date
Austria,AT,inc death,2022-06-18,28,ECDC,2023-11-24
Austria,AT,inc case,2022-06-18,40803,ECDC,2023-11-24
Austria,AT,inc death,2022-06-25,38,ECDC,2023-11-24
Austria,AT,inc case,2022-06-25,60223,ECDC,2023-11-24
Austria,AT,inc death,2022-07-02,49,ECDC,2023-11-24
Austria,AT,inc case,2022-07-02,71280,ECDC,2023-11-24
Austria,AT,inc death,2022-07-09,68,ECDC,2023-11-24
Austria,AT,inc case,2022-07-09,73764,ECDC,2023-11-24
Austria,AT,inc death,2022-07-16,61,ECDC,2023-11-24
Austria,AT,inc case,2022-07-16,83410,ECDC,2023-11-24
Austria,AT,inc death,2022-07-23,96,ECDC,2023-11-24
Austria,AT,inc case,2022-07-23,79546,ECDC,2023-11-24
Austria,AT,inc death,2022-07-30,103,ECDC,2023-11-24
Austria,AT,inc case,2022-07-30,54660,ECDC,2023-11-24
Austria,AT,inc death,2022-08-06,68,ECDC,2023-11-24
Austria,AT,inc case,2022-08-06,42903,ECDC,2023-11-24
Austria,AT,inc death,2022-08-13,71,ECDC,2023-11-24
Austria,AT,inc case,2022-08-13,38602,ECDC,2023-11-24
Austria,AT,inc death,2022-08-20,62,ECDC,2023-11-24
Austria,AT,inc case,2022-08-20,37657,ECDC,2023-11-24
Austria,AT,inc death,2022-08-27,53,ECDC,2023-11-24
Austria,AT,inc case,2022-08-27,33704,ECDC,2023-11-24
Austria,AT,inc death,2022-09-03,38,ECDC,2023-11-24
Austria,AT,inc case,2022-09-03,29627,ECDC,2023-11-24
Austria,AT,inc death,2022-09-10,47,ECDC,2023-11-24
Austria,AT,inc case,2022-09-10,28960,ECDC,2023-11-24
Austria,AT,inc death,2022-09-17,30,ECDC,2023-11-24
Austria,AT,inc case,2022-09-17,36219,ECDC,2023-11-24
Austria,AT,inc death,2022-09-24,38,ECDC,2023-11-24
Austria,AT,inc case,2022-09-24,52258,ECDC,2023-11-24
Austria,AT,inc death,2022-10-01,47,ECDC,2023-11-24
Austria,AT,inc case,2022-10-01,83434,ECDC,2023-11-24
Austria,AT,inc death,2022-10-08,103,ECDC,2023-11-24
Austria,AT,inc case,2022-10-08,97846,ECDC,2023-11-24
Austria,AT,inc death,2022-10-15,87,ECDC,2023-11-24
Austria,AT,inc case,2022-10-15,86396,ECDC,2023-11-24
Austria,AT,inc death,2022-10-22,79,ECDC,2023-11-24
Austria,AT,inc case,2022-10-22,58624,ECDC,2023-11-24
Austria,AT,inc death,2022-10-29,76,ECDC,2023-11-24
Austria,AT,inc case,2022-10-29,37085,ECDC,2023-11-24
Austria,AT,inc death,2022-11-05,52,ECDC,2023-11-24
Austria,AT,inc case,2022-11-05,29394,ECDC,2023-11-24
Austria,AT,inc death,2022-11-12,53,ECDC,2023-11-24
Austria,AT,inc case,2022-11-12,24783,ECDC,2023-11-24
Austria,AT,inc death,2022-11-19,55,ECDC,2023-11-24
Austria,AT,inc case,2022-11-19,27034,ECDC,2023-11-24
Austria,AT,inc death,2022-11-26,43,ECDC,2023-11-24
