weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,epiforecasts-tsensemble,inc case,4,BG,1.3,0.27,0.26,0.5,1,0.05,4,1,Bulgaria
10,fjordhest-ensemble,inc case,4,BG,2.03,0.62,0.6,1,1,-0.12,4,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,1,BG,1,1,1,1,1,-0.02,9,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,1,BG,0.97,0.7,0.73,1,1,-0.04,9,1,Bulgaria
10,fjordhest-ensemble,inc death,1,BG,1.03,0.55,0.54,0.86,1,-0.14,7,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,2,BG,1,1,1,1,1,-0.07,8,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,2,BG,0.94,0.64,0.68,1,1,-0.14,8,1,Bulgaria
10,fjordhest-ensemble,inc death,2,BG,0.97,0.41,0.39,0.83,1,-0.22,6,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,3,BG,1,1,1,1,1,-0.06,7,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,3,BG,0.97,0.6,0.65,1,1,-0.11,7,1,Bulgaria
10,fjordhest-ensemble,inc death,3,BG,0.97,0.32,0.3,1,1,-0.24,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,4,BG,1,1,1,1,1,-0.07,6,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,4,BG,1,0.66,0.71,1,1,-0.08,6,1,Bulgaria
10,fjordhest-ensemble,inc death,4,BG,1.04,0.35,0.32,0.75,1,-0.32,4,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,1,CY,1,1,1,0.89,1,0.08,9,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,1,CY,1.27,0.63,0.71,0.78,1,-0.08,9,1,Cyprus
10,epiforecasts-EpiNow2,inc case,1,CY,1.7,0.8,0.77,0.43,0.57,-0.64,7,1,Cyprus
10,epiforecasts-tsensemble,inc case,1,CY,1.09,0.47,0.45,0.43,1,0.01,7,1,Cyprus
10,epiforecasts-weeklygrowth,inc case,1,CY,1.64,0.78,0.76,0.71,1,-0.36,7,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,2,CY,1,1,1,0.88,1,0.07,8,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,2,CY,1.2,0.52,0.61,0.88,1,-0.04,8,1,Cyprus
10,epiforecasts-EpiNow2,inc case,2,CY,2.29,0.73,0.68,0.17,0.5,-0.77,6,1,Cyprus
10,epiforecasts-tsensemble,inc case,2,CY,1.2,0.36,0.34,0.83,1,0.08,6,1,Cyprus
10,epiforecasts-weeklygrowth,inc case,2,CY,1.99,0.62,0.59,1,1,-0.37,6,1,Cyprus
