weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,epiforecasts-tsensemble,inc case,4,GR,Greece,1.3,1.16,1.08,0.38,0.77,0.3,26,1
52,EuroCOVIDhub-baseline,inc death,1,GR,Greece,1,1,1,0.6,1,-0.06,30,1
52,epiforecasts-tsensemble,inc death,1,GR,Greece,1.61,1.6,1.6,0.44,0.8,0.03,25,1
52,EuroCOVIDhub-baseline,inc death,2,GR,Greece,1,1,1,0.77,1,-0.02,30,1
52,epiforecasts-tsensemble,inc death,2,GR,Greece,1.46,1.41,1.41,0.48,0.8,0.1,25,1
52,EuroCOVIDhub-baseline,inc death,3,GR,Greece,1,1,1,0.73,1,0.01,30,1
52,epiforecasts-tsensemble,inc death,3,GR,Greece,1.44,1.31,1.31,0.48,0.84,0.15,25,1
52,EuroCOVIDhub-baseline,inc death,4,GR,Greece,1,1,1,0.83,1,0.03,30,1
52,epiforecasts-tsensemble,inc death,4,GR,Greece,1.48,1.18,1.18,0.52,0.88,0.18,25,1
52,ECDC-norrsken_blue,inc case,1,HU,Hungary,1.94,1.23,1.28,0.71,0.88,0.26,17,1
52,ECDC-norrsken_green,inc case,1,HU,Hungary,1.58,1.06,1.1,0.24,0.41,0.37,17,1
52,EuroCOVIDhub-baseline,inc case,1,HU,Hungary,1,1,1,0.83,1,0.07,30,1
52,EuroCOVIDhub-ensemble,inc case,1,HU,Hungary,1.47,0.89,0.82,0.84,0.96,0.15,25,1
52,epiforecasts-tsensemble,inc case,1,HU,Hungary,1.33,0.71,0.71,0.72,0.92,-0.01,25,1
52,ECDC-norrsken_blue,inc case,2,HU,Hungary,2.04,0.99,0.98,0.71,0.88,0.39,17,1
52,ECDC-norrsken_green,inc case,2,HU,Hungary,1.58,0.79,0.79,0.41,0.59,0.33,17,1
52,EuroCOVIDhub-baseline,inc case,2,HU,Hungary,1,1,1,1,1,0.02,30,1
52,EuroCOVIDhub-ensemble,inc case,2,HU,Hungary,1.48,0.72,0.7,0.84,1,0.16,25,1
52,epiforecasts-tsensemble,inc case,2,HU,Hungary,1.33,0.53,0.55,0.64,0.96,-0.03,25,1
