location,forecast_date,target_end_date,target,type,quantile,value
FR,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,136
FR,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,136
FR,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,133
FR,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,127
FR,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,118
FR,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,108
FR,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,97
FR,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,86
FR,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,74
FR,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,62
FR,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,51
FR,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,40
FR,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,31
FR,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,23
FR,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,17
FR,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,13
FR,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,10
FR,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,8
FR,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,7
DE,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,139891
DE,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,143455
DE,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,173416
DE,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,205115
DE,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,242855
DE,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,287383
DE,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,339819
DE,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,401453
DE,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,473732
DE,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,558246
DE,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,656694
DE,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,770804
DE,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,820233
DE,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,742155
DE,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,582401
DE,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,410262
DE,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,287049
DE,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,225739
DE,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,217778
DE,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,925
DE,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,675
DE,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,556
DE,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,517
DE,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,486
DE,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,445
DE,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,396
DE,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,342
DE,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,288
DE,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,238
DE,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,194
DE,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,158
DE,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,129
DE,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,106
DE,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,87
DE,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,71
DE,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,60
DE,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,52
DE,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,47
GR,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,213458
GR,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,174773
GR,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,99705
GR,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,43254
GR,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,15059
GR,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,4563
GR,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,1999
GR,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,1156
GR,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,909
GR,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,985
GR,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,1188
GR,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,1411
GR,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,1675
GR,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,1989
GR,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,2363
GR,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,2806
GR,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,3332
GR,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,3956
GR,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,4697
GR,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,13
GR,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,15
GR,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,18
GR,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,22
GR,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,26
GR,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,31
GR,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,36
GR,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,41
GR,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,44
GR,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,44
GR,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,41
GR,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,36
GR,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,29
GR,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,22
GR,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,17
GR,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,12
GR,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,9
GR,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,7
GR,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,6
HU,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,9544
HU,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,8453
HU,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,10298
HU,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,12165
HU,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,14434
HU,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,17121
HU,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,20303
HU,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,24067
HU,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,28518
HU,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,33776
HU,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,39980
HU,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,46520
