date,location,location_name,value
2021-07-03,BE,Belgium,17
2021-07-04,BE,Belgium,16
2021-07-05,BE,Belgium,11
2021-07-06,BE,Belgium,24
2021-07-07,BE,Belgium,28
2021-07-08,BE,Belgium,7
2020-06-26,BE,Belgium,18
2020-06-27,BE,Belgium,16
2020-06-28,BE,Belgium,7
2020-06-29,BE,Belgium,14
2020-06-30,BE,Belgium,17
2020-07-01,BE,Belgium,9
2020-07-02,BE,Belgium,13
2020-07-03,BE,Belgium,6
2020-07-04,BE,Belgium,16
2020-07-05,BE,Belgium,7
2020-07-06,BE,Belgium,10
2020-07-07,BE,Belgium,17
2020-07-08,BE,Belgium,9
2020-07-09,BE,Belgium,11
2020-07-10,BE,Belgium,6
2020-08-18,BE,Belgium,35
2020-08-19,BE,Belgium,39
2020-08-20,BE,Belgium,30
2020-08-21,BE,Belgium,31
2020-08-22,BE,Belgium,26
2020-08-23,BE,Belgium,18
2020-08-24,BE,Belgium,17
2020-08-25,BE,Belgium,12
2020-08-26,BE,Belgium,21
2020-08-27,BE,Belgium,21
2020-08-28,BE,Belgium,19
2020-08-29,BE,Belgium,8
2020-08-30,BE,Belgium,14
2020-08-31,BE,Belgium,18
2020-09-01,BE,Belgium,28
2020-09-02,BE,Belgium,26
2020-09-03,BE,Belgium,13
2020-09-04,BE,Belgium,22
2021-07-04,HR,Croatia,12
2021-07-03,HR,Croatia,11
2021-07-02,HR,Croatia,10
2021-07-01,HR,Croatia,12
2021-06-30,HR,Croatia,13
2021-06-29,HR,Croatia,16
2021-06-28,HR,Croatia,11
2021-06-27,HR,Croatia,5
2021-06-26,HR,Croatia,20
2021-06-25,HR,Croatia,13
2021-06-24,HR,Croatia,18
2021-06-23,HR,Croatia,11
2021-06-22,HR,Croatia,13
2021-06-21,HR,Croatia,14
2021-06-20,HR,Croatia,18
2021-06-19,HR,Croatia,25
2021-06-18,HR,Croatia,18
2021-06-17,HR,Croatia,31
2021-06-16,HR,Croatia,26
2021-06-15,HR,Croatia,24
2021-06-14,HR,Croatia,17
2021-06-13,HR,Croatia,17
2021-06-12,HR,Croatia,21
2021-06-11,HR,Croatia,32
2021-06-10,HR,Croatia,33
2021-06-09,HR,Croatia,30
2021-06-08,HR,Croatia,37
2021-06-07,HR,Croatia,35
2021-06-06,HR,Croatia,17
2021-06-05,HR,Croatia,49
2021-06-04,HR,Croatia,32
2021-06-03,HR,Croatia,44
2021-06-02,HR,Croatia,52
2021-06-01,HR,Croatia,51
2021-05-31,HR,Croatia,23
2021-05-30,HR,Croatia,42
2021-05-29,HR,Croatia,63
2021-05-28,HR,Croatia,61
2021-05-27,HR,Croatia,61
2021-05-26,HR,Croatia,74
2021-05-25,HR,Croatia,94
2021-05-24,HR,Croatia,64
2021-05-23,HR,Croatia,64
2021-05-22,HR,Croatia,82
2021-05-21,HR,Croatia,91
2021-05-20,HR,Croatia,93
2021-05-19,HR,Croatia,128
2021-05-18,HR,Croatia,112
2021-05-17,HR,Croatia,64
2021-05-16,HR,Croatia,88
2021-05-15,HR,Croatia,136
2021-05-14,HR,Croatia,126
2021-05-13,HR,Croatia,158
2021-05-12,HR,Croatia,182
2021-05-11,HR,Croatia,166
2021-05-10,HR,Croatia,136
2021-05-09,HR,Croatia,137
2021-05-08,HR,Croatia,175
2021-05-07,HR,Croatia,177
2021-05-06,HR,Croatia,217
2021-05-05,HR,Croatia,194
2021-05-04,HR,Croatia,205
2021-05-03,HR,Croatia,140
2021-05-02,HR,Croatia,158
2021-05-01,HR,Croatia,245
2021-04-30,HR,Croatia,221
2021-04-29,HR,Croatia,215
2021-04-28,HR,Croatia,253
2021-04-27,HR,Croatia,264
