location_name,location,date,value,source,snapshot_date,status
Belgium,BE,2022-12-17,890,ECDC,2024-09-06,final
Belgium,BE,2022-12-24,932,ECDC,2024-09-06,final
Belgium,BE,2022-12-31,799,ECDC,2024-09-06,final
Belgium,BE,2023-01-07,1594,ECDC,2024-09-06,final
Belgium,BE,2023-01-14,1086,ECDC,2024-09-06,final
Belgium,BE,2023-01-21,857,ECDC,2024-09-06,final
Belgium,BE,2023-01-28,663,ECDC,2024-09-06,final
Belgium,BE,2023-02-04,808,ECDC,2024-09-06,final
Belgium,BE,2023-02-11,950,ECDC,2024-09-06,final
Belgium,BE,2023-02-18,1215,ECDC,2024-09-06,final
Belgium,BE,2023-02-25,1540,ECDC,2024-09-06,final
Belgium,BE,2023-03-04,1735,ECDC,2024-09-06,final
Belgium,BE,2023-03-11,1981,ECDC,2024-09-06,final
Belgium,BE,2023-03-18,2347,ECDC,2024-09-06,final
Belgium,BE,2023-03-25,2237,ECDC,2024-09-06,final
Belgium,BE,2023-04-01,1954,ECDC,2024-09-06,final
Belgium,BE,2023-04-08,1507,ECDC,2024-09-06,final
Belgium,BE,2023-04-15,1349,ECDC,2024-09-06,final
Belgium,BE,2023-04-22,1184,ECDC,2024-09-06,final
Belgium,BE,2023-04-29,960,ECDC,2024-09-06,final
Belgium,BE,2023-05-06,830,ECDC,2024-09-06,final
Belgium,BE,2023-05-13,655,ECDC,2024-09-06,final
Belgium,BE,2023-05-20,549,ECDC,2024-09-06,final
Belgium,BE,2023-05-27,394,ECDC,2024-09-06,final
Belgium,BE,2023-06-03,306,ECDC,2024-09-06,final
Belgium,BE,2023-06-10,238,ECDC,2024-09-06,final
Belgium,BE,2023-06-17,211,ECDC,2024-09-06,final
Belgium,BE,2023-06-24,139,ECDC,2024-09-06,final
Belgium,BE,2023-07-01,116,ECDC,2024-09-06,final
Bulgaria,BG,2020-03-07,2,ECDC,2024-09-06,final
Bulgaria,BG,2020-03-14,2,ECDC,2024-09-06,final
Bulgaria,BG,2021-12-18,2,ECDC,2024-09-06,final
Bulgaria,BG,2021-12-25,1,ECDC,2024-09-06,final
Cyprus,CY,2020-01-04,1,ECDC,2024-09-06,final
Cyprus,CY,2020-02-01,1,ECDC,2024-09-06,final
Cyprus,CY,2020-03-07,1,ECDC,2024-09-06,final
Cyprus,CY,2020-03-14,7,ECDC,2024-09-06,final
Cyprus,CY,2020-03-21,18,ECDC,2024-09-06,final
Cyprus,CY,2020-03-28,51,ECDC,2024-09-06,final
Cyprus,CY,2020-04-04,46,ECDC,2024-09-06,final
Cyprus,CY,2020-04-11,21,ECDC,2024-09-06,final
Cyprus,CY,2020-04-18,12,ECDC,2024-09-06,final
Cyprus,CY,2020-04-25,6,ECDC,2024-09-06,final
Cyprus,CY,2020-05-02,6,ECDC,2024-09-06,final
Cyprus,CY,2020-05-09,6,ECDC,2024-09-06,final
