location,location_name,epi_year,epi_week,date,inc_case,inc_death,inc_hosp
BE,Belgium,2020,48,2020-11-28,17544,939,1732
BG,Bulgaria,2020,48,2020-11-28,21050,929,NA
CH,Switzerland,2020,48,2020-11-28,27689,622,48
CY,Cyprus,2020,48,2020-11-28,1772,5,77
CZ,Czechia,2020,48,2020-11-28,27899,959,8219
DE,Germany,2020,48,2020-11-28,124504,2120,NA
DK,Denmark,2020,48,2020-11-28,8719,42,279
EE,Estonia,2020,48,2020-11-28,2323,22,159
ES,Spain,2020,48,2020-11-28,71478,2049,NA
FI,Finland,2020,48,2020-11-28,3091,18,NA
FR,France,2020,48,2020-11-28,80452,3597,9656
GB,United Kingdom,2020,48,2020-11-28,111789,3404,10017
GR,Greece,2020,48,2020-11-28,12913,696,NA
HR,Croatia,2020,48,2020-11-28,23283,351,1776
HU,Hungary,2020,48,2020-11-28,34410,827,NA
IE,Ireland,2020,48,2020-11-28,1799,28,110
IS,Iceland,2020,48,2020-11-28,102,0,4
IT,Italy,2020,48,2020-11-28,184001,5102,12495
LI,Liechtenstein,2020,48,2020-11-28,148,8,NA
LT,Lithuania,2020,48,2020-11-28,13512,159,NA
LU,Luxembourg,2020,48,2020-11-28,3647,40,NA
LV,Latvia,2020,48,2020-11-28,3817,40,491
MT,Malta,2020,48,2020-11-28,787,21,79
NL,Netherlands,2020,48,2020-11-28,34065,456,1179
NO,Norway,2020,48,2020-11-28,3194,22,103
PL,Poland,2020,48,2020-11-28,130118,3458,1350
PT,Portugal,2020,48,2020-11-28,34736,539,514
RO,Romania,2020,48,2020-11-28,53174,1129,NA
SE,Sweden,2020,48,2020-11-28,34834,275,NA
SI,Slovenia,2020,48,2020-11-28,9973,310,830
SK,Slovakia,2020,48,2020-11-28,9375,154,NA
AT,Austria,2020,49,2020-12-05,25028,739,NA
BE,Belgium,2020,49,2020-12-05,15494,793,1359
BG,Bulgaria,2020,49,2020-12-05,19097,980,NA
CH,Switzerland,2020,49,2020-12-05,26207,637,61
CY,Cyprus,2020,49,2020-12-05,1829,9,77
CZ,Czechia,2020,49,2020-12-05,25530,761,7319
DE,Germany,2020,49,2020-12-05,131146,2658,NA
DK,Denmark,2020,49,2020-12-05,10504,55,289
EE,Estonia,2020,49,2020-12-05,2802,17,183
ES,Spain,2020,49,2020-12-05,56439,1584,NA
FI,Finland,2020,49,2020-12-05,2911,22,NA
FR,France,2020,49,2020-12-05,72150,2851,8603
GB,United Kingdom,2020,49,2020-12-05,100799,2984,10168
GR,Greece,2020,49,2020-12-05,11534,679,NA
HR,Croatia,2020,49,2020-12-05,23761,447,2152
HU,Hungary,2020,49,2020-12-05,38873,1190,NA
IE,Ireland,2020,49,2020-12-05,2006,49,99
