location,type,quantile,target_end_date,forecast_date,target,value
GB,quantile,0.9,2021-05-15,2021-05-10,1 wk ahead inc death,105
GB,quantile,0.95,2021-05-15,2021-05-10,1 wk ahead inc death,113
GB,quantile,0.975,2021-05-15,2021-05-10,1 wk ahead inc death,122
GB,quantile,0.99,2021-05-15,2021-05-10,1 wk ahead inc death,133
GB,quantile,0.01,2021-05-22,2021-05-10,2 wk ahead inc death,45
GB,quantile,0.025,2021-05-22,2021-05-10,2 wk ahead inc death,47
GB,quantile,0.05,2021-05-22,2021-05-10,2 wk ahead inc death,51
GB,quantile,0.1,2021-05-22,2021-05-10,2 wk ahead inc death,55
GB,quantile,0.15,2021-05-22,2021-05-10,2 wk ahead inc death,57
GB,quantile,0.2,2021-05-22,2021-05-10,2 wk ahead inc death,59
GB,quantile,0.25,2021-05-22,2021-05-10,2 wk ahead inc death,62
GB,quantile,0.3,2021-05-22,2021-05-10,2 wk ahead inc death,64
GB,quantile,0.35,2021-05-22,2021-05-10,2 wk ahead inc death,66
GB,quantile,0.4,2021-05-22,2021-05-10,2 wk ahead inc death,68
GB,quantile,0.45,2021-05-22,2021-05-10,2 wk ahead inc death,69
GB,quantile,0.5,2021-05-22,2021-05-10,2 wk ahead inc death,71
GB,quantile,0.55,2021-05-22,2021-05-10,2 wk ahead inc death,73
GB,quantile,0.6,2021-05-22,2021-05-10,2 wk ahead inc death,75
GB,quantile,0.65,2021-05-22,2021-05-10,2 wk ahead inc death,77
GB,quantile,0.7,2021-05-22,2021-05-10,2 wk ahead inc death,80
GB,quantile,0.75,2021-05-22,2021-05-10,2 wk ahead inc death,82
GB,quantile,0.8,2021-05-22,2021-05-10,2 wk ahead inc death,85
GB,quantile,0.85,2021-05-22,2021-05-10,2 wk ahead inc death,89
GB,quantile,0.9,2021-05-22,2021-05-10,2 wk ahead inc death,94
GB,quantile,0.95,2021-05-22,2021-05-10,2 wk ahead inc death,103
GB,quantile,0.975,2021-05-22,2021-05-10,2 wk ahead inc death,113
GB,quantile,0.99,2021-05-22,2021-05-10,2 wk ahead inc death,129
GB,quantile,0.01,2021-05-29,2021-05-10,3 wk ahead inc death,36
GB,quantile,0.025,2021-05-29,2021-05-10,3 wk ahead inc death,39
GB,quantile,0.05,2021-05-29,2021-05-10,3 wk ahead inc death,43
GB,quantile,0.1,2021-05-29,2021-05-10,3 wk ahead inc death,47
GB,quantile,0.15,2021-05-29,2021-05-10,3 wk ahead inc death,50
GB,quantile,0.2,2021-05-29,2021-05-10,3 wk ahead inc death,52
GB,quantile,0.25,2021-05-29,2021-05-10,3 wk ahead inc death,54
GB,quantile,0.3,2021-05-29,2021-05-10,3 wk ahead inc death,57
GB,quantile,0.35,2021-05-29,2021-05-10,3 wk ahead inc death,58
GB,quantile,0.4,2021-05-29,2021-05-10,3 wk ahead inc death,60
GB,quantile,0.45,2021-05-29,2021-05-10,3 wk ahead inc death,62
GB,quantile,0.5,2021-05-29,2021-05-10,3 wk ahead inc death,64
GB,quantile,0.55,2021-05-29,2021-05-10,3 wk ahead inc death,66
GB,quantile,0.6,2021-05-29,2021-05-10,3 wk ahead inc death,68
GB,quantile,0.65,2021-05-29,2021-05-10,3 wk ahead inc death,71
GB,quantile,0.7,2021-05-29,2021-05-10,3 wk ahead inc death,73
GB,quantile,0.75,2021-05-29,2021-05-10,3 wk ahead inc death,76
GB,quantile,0.8,2021-05-29,2021-05-10,3 wk ahead inc death,79
GB,quantile,0.85,2021-05-29,2021-05-10,3 wk ahead inc death,83
GB,quantile,0.9,2021-05-29,2021-05-10,3 wk ahead inc death,88
GB,quantile,0.95,2021-05-29,2021-05-10,3 wk ahead inc death,99
GB,quantile,0.975,2021-05-29,2021-05-10,3 wk ahead inc death,108
GB,quantile,0.99,2021-05-29,2021-05-10,3 wk ahead inc death,123
GB,quantile,0.01,2021-06-05,2021-05-10,4 wk ahead inc death,30
GB,quantile,0.025,2021-06-05,2021-05-10,4 wk ahead inc death,34
GB,quantile,0.05,2021-06-05,2021-05-10,4 wk ahead inc death,37
GB,quantile,0.1,2021-06-05,2021-05-10,4 wk ahead inc death,42
GB,quantile,0.15,2021-06-05,2021-05-10,4 wk ahead inc death,45
GB,quantile,0.2,2021-06-05,2021-05-10,4 wk ahead inc death,47
GB,quantile,0.25,2021-06-05,2021-05-10,4 wk ahead inc death,49
GB,quantile,0.3,2021-06-05,2021-05-10,4 wk ahead inc death,51
GB,quantile,0.35,2021-06-05,2021-05-10,4 wk ahead inc death,53
GB,quantile,0.4,2021-06-05,2021-05-10,4 wk ahead inc death,56
GB,quantile,0.45,2021-06-05,2021-05-10,4 wk ahead inc death,58
GB,quantile,0.5,2021-06-05,2021-05-10,4 wk ahead inc death,60
GB,quantile,0.55,2021-06-05,2021-05-10,4 wk ahead inc death,62
GB,quantile,0.6,2021-06-05,2021-05-10,4 wk ahead inc death,64
GB,quantile,0.65,2021-06-05,2021-05-10,4 wk ahead inc death,67
GB,quantile,0.7,2021-06-05,2021-05-10,4 wk ahead inc death,70
GB,quantile,0.75,2021-06-05,2021-05-10,4 wk ahead inc death,73
GB,quantile,0.8,2021-06-05,2021-05-10,4 wk ahead inc death,76
GB,quantile,0.85,2021-06-05,2021-05-10,4 wk ahead inc death,81
GB,quantile,0.9,2021-06-05,2021-05-10,4 wk ahead inc death,88
GB,quantile,0.95,2021-06-05,2021-05-10,4 wk ahead inc death,99
GB,quantile,0.975,2021-06-05,2021-05-10,4 wk ahead inc death,110
GB,quantile,0.99,2021-06-05,2021-05-10,4 wk ahead inc death,123
NL,quantile,0.01,2021-05-15,2021-05-10,1 wk ahead inc case,43273
NL,quantile,0.025,2021-05-15,2021-05-10,1 wk ahead inc case,44200
NL,quantile,0.05,2021-05-15,2021-05-10,1 wk ahead inc case,45361
NL,quantile,0.1,2021-05-15,2021-05-10,1 wk ahead inc case,46398
NL,quantile,0.15,2021-05-15,2021-05-10,1 wk ahead inc case,47135
NL,quantile,0.2,2021-05-15,2021-05-10,1 wk ahead inc case,47710
NL,quantile,0.25,2021-05-15,2021-05-10,1 wk ahead inc case,48162
NL,quantile,0.3,2021-05-15,2021-05-10,1 wk ahead inc case,48628
NL,quantile,0.35,2021-05-15,2021-05-10,1 wk ahead inc case,49127
NL,quantile,0.4,2021-05-15,2021-05-10,1 wk ahead inc case,49504
NL,quantile,0.45,2021-05-15,2021-05-10,1 wk ahead inc case,49910
NL,quantile,0.5,2021-05-15,2021-05-10,1 wk ahead inc case,50283
NL,quantile,0.55,2021-05-15,2021-05-10,1 wk ahead inc case,50668
NL,quantile,0.6,2021-05-15,2021-05-10,1 wk ahead inc case,51119
NL,quantile,0.65,2021-05-15,2021-05-10,1 wk ahead inc case,51525
NL,quantile,0.7,2021-05-15,2021-05-10,1 wk ahead inc case,51960
NL,quantile,0.75,2021-05-15,2021-05-10,1 wk ahead inc case,52539
NL,quantile,0.8,2021-05-15,2021-05-10,1 wk ahead inc case,53044
NL,quantile,0.85,2021-05-15,2021-05-10,1 wk ahead inc case,53756
NL,quantile,0.9,2021-05-15,2021-05-10,1 wk ahead inc case,54564
NL,quantile,0.95,2021-05-15,2021-05-10,1 wk ahead inc case,55892
