forecast_date,target,target_end_date,horizon,location,type,quantile,value
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.35,262
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.4,264
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.45,266
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.5,268
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.55,269
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.6,271
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.65,273
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.7,275
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.75,277
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.8,280
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.85,282
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.9,286
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.95,292
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.975,296
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.99,301
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.65,283
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.7,288
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.75,293
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.01,234
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.025,239
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.05,243
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.1,248
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.15,252
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.2,255
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.25,257
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.3,260
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.35,262
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.4,264
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.45,266
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.5,268
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.55,270
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.6,272
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.65,273
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.7,276
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.75,278
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.8,281
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.85,284
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.9,288
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.95,294
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.975,300
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,quantile,0.99,306
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.01,207
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.025,215
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.05,223
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.1,233
